OF_torch,Energy (MJ),Temperature (K),mdot (kg/s)
1.0,42.306746883206564,1281.9755675757415,0.05612510071118237
1.1,44.597428077280775,1369.736332299565,0.053242317594365804
1.2000000000000002,46.68330342430326,1455.4036906863855,0.050863376312532405
1.3000000000000003,48.58793659900507,1539.050986497891,0.048869546553888664
1.4000000000000004,50.33146996259983,1620.7481693787352,0.047176655705602956
1.5000000000000004,51.931043333875266,1700.5570295205605,0.0457235263754767
1.6000000000000005,53.40114778393368,1778.5271605341843,0.04446478265204731
1.7000000000000006,54.75393542744006,1854.6928320676905,0.04336620575390637
1.8000000000000007,55.99950244192119,1929.0709702704019,0.042401634408182565
1.9000000000000008,57.14615827632235,2001.6604194090348,0.04155083213295013
2.000000000000001,58.200689522728,2072.442596500981,0.04079797763659162
2.100000000000001,59.16862227107699,2141.3835532598628,0.04013056817013578
2.200000000000001,60.05448204760197,2208.4373293672456,0.039538604757266144
2.300000000000001,60.86204602487918,2273.550332021796,0.03901397643798951
2.4000000000000012,61.59457876434694,2336.6663359733648,0.03854999055463781
2.5000000000000013,62.255041084489214,2397.731601141874,0.0381410145784012
2.6000000000000014,62.84626227397203,2456.699582807511,0.037782206032097844
2.7000000000000015,63.37106876193636,2513.534776022116,0.03746931329977329
2.8000000000000016,63.83236683681659,2568.2153796091825,0.037198533396899616
2.9000000000000017,64.23318193646593,2620.73465159821,0.03696641452280997
3.0000000000000018,64.57666123303764,2671.1010129604892,0.036769792433426124
3.100000000000002,64.86604887344421,2719.3371017188733,0.036605750940914235
3.200000000000002,65.10464403627756,2765.478063639735,0.03647159837414008
3.300000000000002,65.29575117297928,2809.5693872303423,0.036364853561330554
3.400000000000002,65.44262996759136,2851.664562940324,0.03628323664190085
3.500000000000002,65.5484502902932,2891.822789161542,0.03622466159103223
3.6000000000000023,65.61625523256161,2930.106879940099,0.036187228624472836
3.7000000000000024,65.64893350051584,2966.5814653198377,0.03616921559835868
3.8000000000000025,65.64920112699374,3001.3115228192437,0.03616906815041396
3.9000000000000026,65.61959162928753,3034.361240390565,0.03618538870215536
4.000000000000003,65.56245330309996,3065.7931865612086,0.03621692462612894
4.100000000000003,65.47995219571338,3095.667749826656,0.03626255594209052
4.200000000000003,65.37407934042123,3124.0428037819447,0.036321282892840964
4.3000000000000025,65.24666097810513,3150.9735542116796,0.036392213700855464
4.400000000000003,65.09937068240872,3176.5125272484615,0.036474552744395476
4.5000000000000036,64.93374250470949,3200.7096621896603,0.036567589330158426
4.600000000000003,64.75118444298988,3223.612477629997,0.03667068718523704
4.700000000000003,64.55299170460046,3245.26628461477,0.036783274746556
4.800000000000003,64.34035937370072,3265.714425235696,0.03690483629087468
4.900000000000004,64.11439421075076,3284.998519348901,0.037034903921533364
5.0000000000000036,63.87612540638981,3303.1587058660016,0.03717305040773404
5.100000000000003,63.626514188651655,3320.2338683808744,0.03731888285663741
5.200000000000004,63.366462243699615,3336.261837784621,0.037472037186651645
5.300000000000004,63.09681895874437,3351.27956703369,0.03763217336099001
5.400000000000004,62.81838753349049,3365.3232753950697,0.037798971333298924
5.5000000000000036,62.53193003488314,3378.428561322068,0.037972127651551495
5.600000000000004,62.23817149032764,3390.6304846252624,0.03815135266227227
5.700000000000005,61.937803127788875,3401.9636198048283,0.03833636825451345
5.800000000000004,61.63148487824902,3412.462083315641,0.038526906081739844
5.900000000000004,61.31984725759715,3422.159538159914,0.03872270619996183
6.000000000000004,61.003492742161065,3431.0891795681846,0.03892351606191578
6.100000000000005,60.682996745542525,3439.2837056662056,0.03912908980977256
6.200000000000005,60.35890829516548,3446.7752769693298,0.03933918781252469
6.300000000000004,60.031750495815544,3453.5954683342065,0.03955357639867556
6.400000000000005,59.70202085528867,3459.7752166708005,0.03977202773986382
6.500000000000005,59.37019153476541,3465.344767312759,0.03999431984638369
6.600000000000005,59.03670957429257,3470.3336214961205,0.040220236640973434
6.700000000000005,58.70199713226344,3474.7704869349495,0.040449568082538495
6.800000000000005,58.36645176733063,3478.683233031095,0.040682110316521386
6.900000000000006,58.030446782029415,3482.0988518330996,0.04091766583327054
7.000000000000005,57.69433163956345,3485.043425477532,0.04115604361996273
7.100000000000005,57.358432458786055,3487.542100513664,0.041397059295311206
7.2000000000000055,57.02305258728035,3489.619069231234,0.04164053521947232
7.300000000000006,56.688473248548405,3491.297557882569,0.04188630057422248
7.400000000000006,56.35495425647983,3492.599821510525,0.04213419141067703
7.500000000000005,56.022734788379985,3493.547144959934,0.04238405066357047
7.600000000000006,55.69203420670195,3494.1598495559656,0.04263572813249344
7.700000000000006,55.3630529191363,3494.45730487352,0.04288908043150436
7.800000000000006,55.0359732667019,3494.4579449909465,0.04314397090927946
7.900000000000006,54.7109604298478,3494.1792886139597,0.043400269542463864
8.000000000000007,54.3881633432129,3493.637962467,0.04365785280518725
8.100000000000007,54.06771561049875,3492.8497273735557,0.043916603517856034
8.200000000000006,53.74973641183511,3491.8295064824933,0.04417641067835333
8.300000000000006,53.43433139698969,3490.591415138516,0.044437169278705314
8.400000000000006,53.121593558748344,3489.1487919406354,0.04469878011013524
8.500000000000007,52.81160408174656,3487.5142305799445,0.04496114955923418
8.600000000000007,52.50443316293192,3485.6996120953922,0.0452241893977601
8.700000000000006,52.20014080067217,3483.7161372327187,0.04548781656833948
8.800000000000008,51.89877755028093,3481.574358635748,0.04575195296810254
8.900000000000007,51.60038524441158,3479.2842126408054,0.046016525232040376
9.000000000000007,51.30499767736519,3476.855050483067,0.04628146451763784
9.100000000000007,51.012641252874,3474.2956687587084,0.04654670629211331
9.200000000000006,50.72333559536235,3471.6143390177244,0.046812190123387075
9.300000000000008,50.43709412505508,3468.8188363903714,0.04707785947570936
9.400000000000007,50.153924597607826,3465.9164671745943,0.047343661510703065
9.500000000000007,49.8738296091781,3462.914095333116,0.04760954689441983
9.600000000000009,49.59680706804887,3459.8181678673254,0.04787546961086825
9.700000000000008,49.322850634063066,3456.6347390506903,0.04814138678234924
9.800000000000008,49.05195012723401,3453.3694935177887,0.04840725849682673
9.900000000000007,48.784091906969536,3450.0277682159103,0.048673047642468076
10.000000000000007,48.519259223391096,3446.6145732352816,0.04893871974940909
10.100000000000009,48.257432542245475,3443.134611541333,0.04920424283873396
