3.308191936446482351e-01,3.537546426764815455e-01,3.767809095062469860e-01,3.998984055349611433e-01,4.231075893706809921e-01,4.464089674942088859e-01,4.698030943875640686e-01,4.932905722003688709e-01,5.168720500252829142e-01,5.405482228497652253e-01,5.643198302477666628e-01,5.881876548715850861e-01,6.121525208009781505e-01,6.362152918038561644e-01,6.603768695603412509e-01,6.846381918998083460e-01,7.090002310985255018e-01,7.334639922838838144e-01,7.580305119896630917e-01,7.827008569055304843e-01,8.074761228628017928e-01,8.323574340974811969e-01,8.573459428306400287e-01,8.824428292053128065e-01,9.076493016182362039e-01,9.329665974838523557e-01,9.583959844671680051e-01,9.839387622210530315e-01,1.009596264662649512e+00,1.035369862822436815e+00,1.061260968298439300e+00,1.087271037346805080e+00,1.113401575638761853e+00,1.139654143712631518e+00,1.166030363148195192e+00,1.192531923489353662e+00,1.219160589939593420e+00,1.245918211853429103e+00,1.272806732045628664e+00,1.299828196938793257e+00,1.326984767568681001e+00,1.354278731465607510e+00,1.381712515429379895e+00,1.409288699214414020e+00,1.437010030141139039e+00,1.464879438649346666e+00,1.492900054809038535e+00,1.521075225802755115e+00,1.549408534397626935e+00,1.577903818417995430e+00,1.606565191236609458e+00,1.635397063297607589e+00,1.664404164685131970e+00,1.693591568749900356e+00,1.722964716803678131e+00,1.752529443888130922e+00,1.782292005619309894e+00,1.812259106101615114e+00,1.842437926894735511e+00,1.872836157003012314e+00,1.903462023837798389e+00,1.934324325078419893e+00,1.965432461324704061e+00,1.996796469391614925e+00,2.028427056042021004e+00,2.060335631883587038e+00,2.092534345066796586e+00,2.125036114307804702e+00,2.157854660616558728e+00,2.191004536929557656e+00,2.224501154618082843e+00,2.258360805555144513e+00,2.292600678061830877e+00,2.327238864597912738e+00,2.362294358487605273e+00,2.397787036248983927e+00,2.433737621186001121e+00,2.470167622755756742e+00,2.507099244778600244e+00,2.544555253734761990e+00,2.582558796087889963e+00,2.621133150664074041e+00,2.660301398431306641e+00,2.700085987360679063e+00,2.740508164143353298e+00,2.781587237052613126e+00,2.823339624757839950e+00,2.865777633891133380e+00,2.908907892985360899e+00,2.952729351247323830e+00,2.997230726546415980e+00,3.042387256878493318e+00,3.088156572185341897e+00,3.134473457547921171e+00,3.181243223442811630e+00,3.228333333690355911e+00,3.275562868272688721e+00,3.322689320918541966e+00,3.369392160822896276e+00,3.415252545520281124e+00
3.579606522784279377e-01,3.827485494354450068e-01,4.076309745536628726e-01,4.326083560552945184e-01,4.576811715008067827e-01,4.828499482822112832e-01,5.081152637571898500e-01,5.334777449022564122e-01,5.589380675590108760e-01,5.844969553434863352e-01,6.101551782848040340e-01,6.359135512558148351e-01,6.617729322551640925e-01,6.877342205973117073e-01,7.137983550644114716e-01,7.399663120716857279e-01,7.662391038958854539e-01,7.926177770146549673e-01,8.191034106031279682e-01,8.456971152326595575e-01,8.724000318154941924e-01,8.992133308380240164e-01,9.261382119243667388e-01,9.531759037710384463e-01,9.803276644926064431e-01,1.007594782417298385e+00,1.034978577370648578e+00,1.062480402484224484e+00,1.090101646565540205e+00,1.117843737064070142e+00,1.145708143667194534e+00,1.173696382558585327e+00,1.201810021370278259e+00,1.230050684858306598e+00,1.258420061330290496e+00,1.286919909852026311e+00,1.315552068258590168e+00,1.344318461994088887e+00,1.373221113802781224e+00,1.402262154292974072e+00,1.431443833393927001e+00,1.460768532724846525e+00,1.490238778894163563e+00,1.519857257746437540e+00,1.549626829573706122e+00,1.579550545307556009e+00,1.609631663708170679e+00,1.639873669564911873e+00,1.670280292927471155e+00,1.700855529378913156e+00,1.731603661369361946e+00,1.762529280624167694e+00,1.793637311640968734e+00,1.824933036288545640e+00,1.856422119517853186e+00,1.888110636192031899e+00,1.920005099036794949e+00,1.952112487704787958e+00,1.984440278936856039e+00,2.016996477788488562e+00,2.049789649870062291e+00,2.082828954523527454e+00,2.116124178824226654e+00,2.149685772252364568e+00,2.183524881821906405e+00,2.217653387381798513e+00,2.252083936711732903e+00,2.286829979916833899e+00,2.321905802476361025e+00,2.357326556113175542e+00,2.393108286412708008e+00,2.429267955820787694e+00,2.465823460272301038e+00,2.502793637227956669e+00,2.540198262299006693e+00,2.578058030887550256e+00,2.616394520323126471e+00,2.655230126782717193e+00,2.694587969776764957e+00,2.734491755084647480e+00,2.774965584624859538e+00,2.816033698713090505e+00,2.857720132325894280e+00,2.900048262131319721e+00,2.943040214896727402e+00,2.986716100090044623e+00,3.031093019616405648e+00,3.076183795129701082e+00,3.121995337549063443e+00,3.168526563463148982e+00,3.215765738026022724e+00,3.263687092582559846e+00,3.312246526337013108e+00,3.361376153621654872e+00,3.410977400710228480e+00,3.460912288378714230e+00,3.510992459946390198e+00,3.560965434086576842e+00,3.610497488311121828e+00,3.659152535036027221e+00
3.861717990286245294e-01,4.128840096560720818e-01,4.396944584062804640e-01,4.666035907224224677e-01,4.936119031171235516e-01,5.207199438933349800e-01,5.479283132841074044e-01,5.752376630925400969e-01,6.026486959088392936e-01,6.301621639772582162e-01,6.577788677817113516e-01,6.854996544152013316e-01,7.133254157948355489e-01,7.412570867811691944e-01,7.692956432579037829e-01,7.974421002256061319e-01,8.256975099609596969e-01,8.540629602912970242e-01,8.825395730324931964e-01,9.111285026369541074e-01,9.398309350971746357e-01,9.686480871492167966e-01,9.975812058194903909e-01,1.026631568357195823e+00,1.055800482593887590e+00,1.085089287770695687e+00,1.114499355872741848e+00,1.144032093509311121e+00,1.173688944377246468e+00,1.203471392343927748e+00,1.233380965184936562e+00,1.263419239010252104e+00,1.293587843411444949e+00,1.323888467360904153e+00,1.354322865892666261e+00,1.384892867592924182e+00,1.415600382926757161e+00,1.446447413426191542e+00,1.477436061763199859e+00,1.508568542729924689e+00,1.539847195147139303e+00,1.571274494720836357e+00,1.602853067865823267e+00,1.634585706514433801e+00,1.666475383927773946e+00,1.698525271526527103e+00,1.730738756758165797e+00,1.763119462015795058e+00,1.795671264628360131e+00,1.828398317934094131e+00,1.861305073456692938e+00,1.894396304198612047e+00,1.927677129066568407e+00,1.961153038442624119e+00,1.994829920911758370e+00,2.028714091153006827e+00,2.062812318995673078e+00,2.097131859634061346e+00,2.131680484983014878e+00,2.166466516141370313e+00,2.201498856910017565e+00,2.236787028284243917e+00,2.272341203804753018e+00,2.308172245605885742e+00,2.344291740940532609e+00,2.380712038885568038e+00,2.417446286835257752e+00,2.454508466267596667e+00,2.491913427113470636e+00,2.529676919862648088e+00,2.567815624293288579e+00,2.606347173400463735e+00,2.645290170706875887e+00,2.684664198645555278e+00,2.724489815083257938e+00,2.764788534271383380e+00,2.805582787526812893e+00,2.846895857704357269e+00,2.888751779958327770e+00,2.931175199316560231e+00,2.974191173096891294e+00,3.017824903044049822e+00,3.062101378077290548e+00,3.107044903490393750e+00,3.152678486050355833e+00,3.199023036338192849e+00,3.246096339408903741e+00,3.293911731849150204e+00,3.342476406874081540e+00,3.391789248365639775e+00,3.441838068679929474e+00,3.492596092440262368e+00,3.544017488063347265e+00,3.596031699115124880e+00,3.648536267697144009e+00,3.701387771641230895e+00,3.754390417801374280e+00,3.807281750125969477e+00,3.859714854951424634e+00,3.911236400313033545e+00
4.154526338981592293e-01,4.441610233421641740e-01,4.729713610689674774e-01,5.018841095424938503e-01,5.308997842273028844e-01,5.600189543370419631e-01,5.892422429798762629e-01,6.185703267852094012e-01,6.480039350915617336e-01,6.775438487710923052e-01,7.071908987621705611e-01,7.369459643775974067e-01,7.668099714525593580e-01,7.967838903933037731e-01,8.268687341846554517e-01,8.570655564120644998e-01,8.873754493516741171e-01,9.177995421799890474e-01,9.483389993530898510e-01,9.789950192038626708e-01,1.009768832804445848e+00,1.040661703139939442e+00,1.071674924638373883e+00,1.102809823100918907e+00,1.134067756075375355e+00,1.165450113714979752e+00,1.196958320163618250e+00,1.228593835507408860e+00,1.260358158331607248e+00,1.292252828920522845e+00,1.324279433136913653e+00,1.356439607015991200e+00,1.388735042107716700e+00,1.421167491599641730e+00,1.453738777250955350e+00,1.486450797166907201e+00,1.519305534441173000e+00,1.552305066692212243e+00,1.585451576518138506e+00,1.618747362893258712e+00,1.652194853528100582e+00,1.685796618213565301e+00,1.719555383168855922e+00,1.753474046411961140e+00,1.787555694170807952e+00,1.821803618352770826e+00,1.856221335090059155e+00,1.890812604376767458e+00,1.925581450818167673e+00,1.960532185504511471e+00,1.995669429029676367e+00,2.030998135669587867e+00,2.066523618736107348e+00,2.102251577120345605e+00,2.138188123036723898e+00,2.174339810975201459e+00,2.210713667863302589e+00,2.247317224431134797e+00,2.284158547761180102e+00,2.321246274988701952e+00,2.358589648097556335e+00,2.396198549728122629e+00,2.434083539877463398e+00,2.472255893324182718e+00,2.510727637549310831e+00,2.549511590845809028e+00,2.588621400209512036e+00,2.628071578477024772e+00,2.667877540015166193e+00,2.708055634063349260e+00,2.748623174573471495e+00,2.789598465068932942e+00,2.831000816637224027e+00,2.872850556658311127e+00,2.915169025226505894e+00,2.957978555411713728e+00,3.001302432484278526e+00,3.045164825939550735e+00,3.089590686534756436e+00,3.134605598501271739e+00,3.180235574507103813e+00,3.226506777672365711e+00,3.273445150800696091e+00,3.321075927748508239e+00,3.369422995214668592e+00,3.418508064821077053e+00,3.468349604696592259e+00,3.518961466281882444e+00,3.570351125008300652e+00,3.622517431972760882e+00,3.675447746660421622e+00,3.729114286910722331e+00,3.783469490308796424e+00,3.838440129638926113e+00,3.893919862857947223e+00,3.949759824942627340e+00,4.005756786456985630e+00,4.061638316917528968e+00,4.117044311935075918e+00,4.171504195817782090e+00
4.458031568895426955e-01,4.765795904969880037e-01,5.074616825459073999e-01,5.384499125207925507e-01,5.695448148379345099e-01,6.007469796214628399e-01,6.320570528544240396e-01,6.634757359922827114e-01,6.950037851216069873e-01,7.266420097421786295e-01,7.583912712465264994e-01,7.902524811669264793e-01,8.222265992563078107e-01,8.543146314662501961e-01,8.865176278823154732e-01,9.188366806744352466e-01,9.512729221177784744e-01,9.838275227375702370e-01,1.016501689629613292e+00,1.049296665006763885e+00,1.082213725020268358e+00,1.115254178903695603e+00,1.148419368486091496e+00,1.181710668119967611e+00,1.215129485068699111e+00,1.248677260396927613e+00,1.282355470406558062e+00,1.316165628659763165e+00,1.350109288629386173e+00,1.384188047015795453e+00,1.418403547768013251e+00,1.452757486845517976e+00,1.487251617755649180e+00,1.521887757900048932e+00,1.556667795761927042e+00,1.591593698964401504e+00,1.626667523228492396e+00,1.661891422257755657e+00,1.697267658575042804e+00,1.732798615335342740e+00,1.768486809137358673e+00,1.804334903855232319e+00,1.840345725510789343e+00,1.876522278205786209e+00,1.912867761132960531e+00,1.949385586684240668e+00,1.986079399674284041e+00,2.022953097695731284e+00,2.060010852627556233e+00,2.097257133309227140e+00,2.134696729401783788e+00,2.172334776451366078e+00,2.210176782171485943e+00,2.248228653958517675e+00,2.286496727652240324e+00,2.324987797549111335e+00,2.363709147670064237e+00,2.402668584275814645e+00,2.441874469610807008e+00,2.481335756840556961e+00,2.521062026125155064e+00,2.561063521742729332e+00,2.601351190138658787e+00,2.641936718727043498e+00,2.682832575207411807e+00,2.724052047078262984e+00,2.765609280925423796e+00,2.807519320931383344e+00,2.849798145884912870e+00,2.892462703759699050e+00,2.935530942664447807e+00,2.979021836632257614e+00,3.022955404294881188e+00,3.067352717956622676e+00,3.112235899914446602e+00,3.157628102029351069e+00,3.203553463494955622e+00,3.250037040413956468e+00,3.297104699110037895e+00,3.344782962978106955e+00,3.393098799992587455e+00,3.442079334601218399e+00,3.491751463440124326e+00,3.542141348872224871e+00,3.593273757467953189e+00,3.645171201825890162e+00,3.697852833081153090e+00,3.751333017458401198e+00,3.805619512534251125e+00,3.860711136551044920e+00,3.916594796058158412e+00,3.973241702055915425e+00,4.030602561258916694e+00,4.088601475656375328e+00,4.147128219085145950e+00,4.206028483746516500e+00,4.265091604070844866e+00,4.324035175403734499e+00,4.382485903030947760e+00,4.439955968115114615e+00
4.772233680049433047e-01,5.101397111233649806e-01,5.431654228407152285e-01,5.763009996618833064e-01,6.095469949547122068e-01,6.429040197536215473e-01,6.763727429163303162e-01,7.099538907241421670e-01,7.436482460114361981e-01,7.774566469053675322e-01,8.113799852523518874e-01,8.454192048038549068e-01,8.795752992302445783e-01,9.138493100281083192e-01,9.482423243834028348e-01,9.827554730501766311e-01,1.017389928302240509e+00,1.052146902013129326e+00,1.087027643917937159e+00,1.122033440109032387e+00,1.157165611816287631e+00,1.192425514521225915e+00,1.227814537453377541e+00,1.263334103516026374e+00,1.298985669687517941e+00,1.334770727943271673e+00,1.370690806742543622e+00,1.406747473122862635e+00,1.442942335443915702e+00,1.479277046821356523e+00,1.515753309289650685e+00,1.552372878731678618e+00,1.589137570611249162e+00,1.626049266543131644e+00,1.663109921733549879e+00,1.700321573322424173e+00,1.737686349656983653e+00,1.775206480524696095e+00,1.812884308371894404e+00,1.850722300532913644e+00,1.888723062493220084e+00,1.926889352208704054e+00,1.965224095502219104e+00,2.003730402557599266e+00,2.042411585530599538e+00,2.081271177295780817e+00,2.120312951348198194e+00,2.159540942876851943e+00,2.198959471032074564e+00,2.238573162400024241e+00,2.278386975706203632e+00,2.318406227764062244e+00,2.358636620685618190e+00,2.399084270369132188e+00,2.439755736276071119e+00,2.480658052505432032e+00,2.521798760167265119e+00,2.563185941048215621e+00,2.604828252549618028e+00,2.646734963861717471e+00,2.688915993314811459e+00,2.731381946818195239e+00,2.774144157258379817e+00,2.817214724677086224e+00,2.860606556983730897e+00,2.904333410872903531e+00,2.948409932510058340e+00,2.992851697412182155e+00,3.037675248777492953e+00,3.082898133300176813e+00,3.128538933230620156e+00,3.174617293094940784e+00,3.221153939050792392e+00,3.268170688306600624e+00,3.315690445339705139e+00,3.363737180777672364e+00,3.412335887710402638e+00,3.461512508818257672e+00,3.511293825958764714e+00,3.561707301654612579e+00,3.612780859147506352e+00,3.664542584170134010e+00,3.717020327144709757e+00,3.770241178890505918e+00,3.824230785795640131e+00,3.879012461378014809e+00,3.934606039718636872e+00,3.991026401763632769e+00,4.048281587171557838e+00,4.106370381268106051e+00,4.165279237609080809e+00,4.224978360306439917e+00,4.285416725169610253e+00,4.346515763380970121e+00,4.408161364679719973e+00,4.470193778563035458e+00,4.532394903467532821e+00,4.594472360801419519e+00,4.656039665883496603e+00,4.716591757250776951e+00
5.097132672462464376e-01,5.448413852237478094e-01,5.800825819565300634e-01,6.154373709697301686e-01,6.509063245825815747e-01,6.864900747396166514e-01,7.221893131730435789e-01,7.580047909898032232e-01,7.939373177718735963e-01,8.299877602735545867e-01,8.661570407949064077e-01,9.024461353063277791e-01,9.388560713953499892e-01,9.753879261032776249e-01,1.012042823716153173e+00,1.048821933571815412e+00,1.085726467942365936e+00,1.122757680049284224e+00,1.159916862266566762e+00,1.197205344565683838e+00,1.234624493254695476e+00,1.272175710062625198e+00,1.309860431618998788e+00,1.347680129377358371e+00,1.385636310030488483e+00,1.423730516464013718e+00,1.461964329293943043e+00,1.500339369032525516e+00,1.538857298925635275e+00,1.577519828503503918e+00,1.616328717885305633e+00,1.655285782876544376e+00,1.694392900896678933e+00,1.733652017772746357e+00,1.773065155433069640e+00,1.812634420533411062e+00,1.852362014046195604e+00,1.892250241841734848e+00,1.932301526288705551e+00,1.972518418899593673e+00,2.012903614045361778e+00,2.053459963762295448e+00,2.094190493672853037e+00,2.135098420041424028e+00,2.176187167985159210e+00,2.217460390859532282e+00,2.258921990838150595e+00,2.300576140704405859e+00,2.342427306877871374e+00,2.384480273689148166e+00,2.426740168925760166e+00,2.469212490665847248e+00,2.511903135417123956e+00,2.554818427576683426e+00,2.597965150224394115e+00,2.641350577258230192e+00,2.684982506873490937e+00,2.728869296378554576e+00,2.773019898327089727e+00,2.817443897929095442e+00,2.862151551679660511e+00,2.907153827113335698e+00,2.952462443551306048e+00,2.998089913655840100e+00,3.044049585538497027e+00,3.090355685081472181e+00,3.137023358020532893e+00,3.184068711196935464e+00,3.231508852207094940e+00,3.279361926453348897e+00,3.327647150314140045e+00,3.376384838793644150e+00,3.425596425558921521e+00,3.475304472704351166e+00,3.525532666867652765e+00,3.576305797420931132e+00,3.627649711326122794e+00,3.679591237814606952e+00,3.732158074248481228e+00,3.785378622246107660e+00,3.839281760281360700e+00,3.893896535333560394e+00,3.949251751569382574e+00,4.005375428219441147e+00,4.062294091441217780e+00,4.120031855620463368e+00,4.178609237729944859e+00,4.238041633381198992e+00,4.298337364257938553e+00,4.359495182713611250e+00,4.421501089258663697e+00,4.484324281072642471e+00,4.547912003028850236e+00,4.612183015492450799e+00,4.677019324125207156e+00,4.742255735784428161e+00,4.807666713038770467e+00,4.872949903568745356e+00,4.937705633047677622e+00,5.001411597853556934e+00
5.432728546150950022e-01,5.806846128002739471e-01,6.182131598960914909e-01,6.558590264477937026e-01,6.936228037258570511e-01,7.315051445847717826e-01,7.695067636310647385e-01,8.076284367971331424e-01,8.458710004123626280e-01,8.842353498579904603e-01,9.227224378875047428e-01,9.613332726900013503e-01,1.000068915769928735e+00,1.038930479713044530e+00,1.077919125905198561e+00,1.117036062267722896e+00,1.156282541070696945e+00,1.195659856883212857e+00,1.235169344717816697e+00,1.274812378424706738e+00,1.314590369389742053e+00,1.354504765589029658e+00,1.394557051051652730e+00,1.434748745780953794e+00,1.475081406183661459e+00,1.515556626055095668e+00,1.556176038167477182e+00,1.596941316507207276e+00,1.637854179205741278e+00,1.678916392207262742e+00,1.720129773714981880e+00,1.761496199456329848e+00,1.803017608805670191e+00,1.844696011801531199e+00,1.886533497093511258e+00,1.928532240852347091e+00,1.970694516674748931e+00,2.013022706512900495e+00,2.055519312656800768e+00,2.098186970796004580e+00,2.141028464185821711e+00,2.184046738941722854e+00,2.227244920484477309e+00,2.270626331157661326e+00,2.314194509038360437e+00,2.357953227961396614e+00,2.401906518777270794e+00,2.446058691861992873e+00,2.490414360902475366e+00,2.534978467971701566e+00,2.579756309917040635e+00,2.624753566078958045e+00,2.669976327358312584e+00,2.715431126648289339e+00,2.761124970644186494e+00,2.807065373039738354e+00,2.853260389112011186e+00,2.899718651687323678e+00,2.946449408467573416e+00,2.993462560678019635e+00,3.040768702973660975e+00,3.088379164508971098e+00,3.136306051033970199e+00,3.184562287825109195e+00,3.233161663189103141e+00,3.282118872188096059e+00,3.331449560119760900e+00,3.381170365140403700e+00,3.431298959234504675e+00,3.481854086501388501e+00,3.532855597435311523e+00,3.584324477504982287e+00,3.636282867872005387e+00,3.688754075500347618e+00,3.741762569170065778e+00,3.795333956977947842e+00,3.849494939736135546e+00,3.904273233202990578e+00,3.959697450218795378e+00,4.015796931468666564e+00,4.072601510627005261e+00,4.130141195885249417e+00,4.188445745117036267e+00,4.247544105923791058e+00,4.307463684188816089e+00,4.368229395119393565e+00,4.429862438531303681e+00,4.492378724651031163e+00,4.555786857136393309e+00,4.620085555318528492e+00,4.685260366616001981e+00,4.751279481236363900e+00,4.818088413089046007e+00,4.885603251712783646e+00,4.953702118710291202e+00,5.022214378357033659e+00,5.090907057467179975e+00,5.159467830182586034e+00,5.227483832820812637e+00,5.294415520021136246e+00
5.779021301129309007e-01,6.176693938548204477e-01,6.575571566618003683e-01,6.975659660991055944e-01,7.376964323883216101e-01,7.779492292937525422e-01,8.183250942960902385e-01,8.588248281530281858e-01,8.994492939411803389e-01,9.401994156685367088e-01,9.810761765418137825e-01,1.022080616968596090e+00,1.063213832370021761e+00,1.104476970876064890e+00,1.145871230972126398e+00,1.187397859162765190e+00,1.229058147715754057e+00,1.270853432547493833e+00,1.312785091308764196e+00,1.354854541728155892e+00,1.397063240268967110e+00,1.439412681154012441e+00,1.481904395811537878e+00,1.524539952794263131e+00,1.567320958222427674e+00,1.610249056800574285e+00,1.653325933456647245e+00,1.696553315650683347e+00,1.739932976399174658e+00,1.783466738059682033e+00,1.827156476918851524e+00,1.871004128625399776e+00,1.915011694507930295e+00,1.959181248815750509e+00,2.003514946918995676e+00,2.048015034502588705e+00,2.092683857786689750e+00,2.137523874804485580e+00,2.182537667766370593e+00,2.227727956537986387e+00,2.273097613257955008e+00,2.318649678119825808e+00,2.364387376341510194e+00,2.410314136344532621e+00,2.456433609164585530e+00,2.502749689114437626e+00,2.549266535719974414e+00,2.595988596948202609e+00,2.642920633751659309e+00,2.690067745943868882e+00,2.737435399430038885e+00,2.785029454810835414e+00,2.832856197377951801e+00,2.880922368518180843e+00,2.929235198539565488e+00,2.977802440928686512e+00,3.026632408041208588e+00,3.075734008217989146e+00,3.125116784305390638e+00,3.174790953539905480e+00,3.224767448732013264e+00,3.275057960651270861e+00,3.325674981471273828e+00,3.376631849076867198e+00,3.427942791963606961e+00,3.479622974366659349e+00,3.531688541138000570e+00,3.584156661740635741e+00,3.637045572537932259e+00,3.690374616316131728e+00,3.744164277674173480e+00,3.798436212533107259e+00,3.853213269535626040e+00,3.908519500500458932e+00,3.964380156333696448e+00,4.020821663838863635e+00,4.077871577658529034e+00,4.135558500056313314e+00,4.193911959326841910e+00,4.252962235195822061e+00,4.312740116509565347e+00,4.373276572640429904e+00,4.434602315135119710e+00,4.496747219929219774e+00,4.559739572592532930e+00,4.623605089111998190e+00,4.688365652102375769e+00,4.754037686359525061e+00,4.820630077469230557e+00,4.888141511695168973e+00,4.956557083322018720e+00,5.025843975549636689e+00,5.095945971298626809e+00,5.166776489273078532e+00,5.238209767033403352e+00,5.310069726325846950e+00,5.382115958312777337e+00,5.454026163768413760e+00,5.525374289916522130e+00,5.595603550037655083e+00
6.136010937410227850e-01,6.557957283890364364e-01,6.981145722557714484e-01,7.405581899263359302e-01,7.831272105733040334e-01,8.258223288706652010e-01,8.686443051731372877e-01,9.115939650635562774e-01,9.546721983656109023e-01,9.978799577138736110e-01,1.041218256768106309e+00,1.084688168154190446e+00,1.128290821209749994e+00,1.172027399608756459e+00,1.215899138935936374e+00,1.259907324278824792e+00,1.304053287902633862e+00,1.348338407070798661e+00,1.392764102072040044e+00,1.437331834513035034e+00,1.482043105934199634e+00,1.526899456804713395e+00,1.571902465951622752e+00,1.617053750476643792e+00,1.662354966213125174e+00,1.707807808774412406e+00,1.753414015243722091e+00,1.799175366554261357e+00,1.845093690607063186e+00,1.891170866172540599e+00,1.937408827620231921e+00,1.983809570519558196e+00,2.030375158152753379e+00,2.077107728979263435e+00,2.124009505089080818e+00,2.171082801680604302e+00,2.218330037596690563e+00,2.265753746950728065e+00,2.313356591872663515e+00,2.361141376403340431e+00,2.409111061563749878e+00,2.457268781624518450e+00,2.505617861599637397e+00,2.554161835987443840e+00,2.602904468781044311e+00,2.651849774769865054e+00,2.701002042153813676e+00,2.750365856489428218e+00,2.799946125993305834e+00,2.849748108217822207e+00,2.899777438124232276e+00,2.950040157571452770e+00,3.000542746239925673e+00,3.051292154007780422e+00,3.102295834793368901e+00,3.153561781873467140e+00,3.205098564679488060e+00,3.256915367063691225e+00,3.309022027013547529e+00,3.361429077773078422e+00,3.414147790304222330e+00,3.467190216987251716e+00,3.520569236414534675e+00,3.574298599074072325e+00,3.628392973644525732e+00,3.682867993527782602e+00,3.737740303123232355e+00,3.793027603192990149e+00,3.848748694470985221e+00,3.904923518421207440e+00,3.961573193737230714e+00,4.018720046781336208e+00,4.076387633665098598e+00,4.134600751048571610e+00,4.193385431949074871e+00,4.252768921860562656e+00,4.312779629238108647e+00,4.373447042830891363e+00,4.434801606366208127e+00,4.496874538586650871e+00,4.559697583484486394e+00,4.623302671584684553e+00,4.687721468076271769e+00,4.752984777195782051e+00,4.819121764163832644e+00,4.886158945709067503e+00,4.954118887205328114e+00,5.023018527976522485e+00,5.092867035494616168e+00,5.163663062914912949e+00,5.235391251350172581e+00,5.308017776960277878e+00,5.381484691654432773e+00,5.455702743294744472e+00,5.530542285414652426e+00,5.605821797278981222e+00,5.681293434491581529e+00,5.756624924614243355e+00,5.831377026014575193e+00,5.904975710959077695e+00
