Mass Flow Rate (lbm/s),Turbine RPM (RPM),Turbine Power (HP)
0.9107142857142857,36428.57142857143,136.46414634578204
0.9464285714285714,37857.14285714287,148.74325860695345
0.9821428571428572,39285.71428571431,160.4120361567603
1.0178571428571428,40714.2857142857,171.15308256549966
1.0535714285714286,42142.857142857116,180.64058398661692
1.0892857142857142,43571.42857142856,188.54638797762453
1.125,44999.999999999956,194.54592576868797
1.1607142857142858,46428.57142857142,198.32379878990403
1.1964285714285714,47857.14285714288,199.57887776436476
1.2321428571428572,49285.7142857143,198.0287934156088
1.2678571428571428,50714.28571428571,193.41373010687323
1.3035714285714284,52142.85714285709,185.49946593644228
1.3392857142857142,53571.42857142854,174.07963357506574
1.3749999999999998,54999.99999999997,158.9772043189336
1.4107142857142858,56428.57142857143,140.04522259504043
1.4464285714285714,57857.14285714284,117.1668389260473
