nan,1.831756650148604892e-01,1.954820404422154823e-01,2.077884158695704475e-01,2.200947912969253850e-01,2.324011667242803780e-01,2.447075421516353433e-01,2.570139175789902808e-01,2.693202930063453016e-01,2.816266684337002113e-01,2.939330438610552321e-01,3.062394192884101973e-01,3.185457947157651626e-01,3.308521701431201278e-01,3.431585455704750931e-01,3.554649209978300584e-01,3.677712964251850236e-01,3.800776718525399334e-01,3.923840472798949541e-01,4.046904227072499194e-01,4.169967981346048846e-01,4.293031735619598499e-01,4.416095489893147596e-01,4.539159244166698359e-01,4.662222998440246902e-01,4.785286752713798220e-01,4.908350506987347317e-01,5.031414261260896970e-01,5.154478015534446067e-01,5.277541769807995164e-01,5.400605524081546482e-01,5.523669278355096690e-01,5.646733032628645788e-01,5.769796786902194885e-01,5.892860541175745093e-01,6.015924295449294190e-01,6.138988049722843288e-01,6.262051803996394606e-01,6.385115558269943703e-01,6.508179312543492800e-01,6.631243066817043008e-01,6.754306821090592106e-01,6.877370575364141203e-01,7.000434329637693631e-01,7.123498083911240508e-01,7.246561838184789606e-01,7.369625592458342034e-01,7.492689346731891131e-01,7.615753101005441339e-01,7.738816855278989326e-01,7.861880609552540644e-01,7.984944363826088631e-01,8.108008118099637729e-01,8.231071872373189047e-01,8.354135626646739254e-01,8.477199380920288352e-01,8.600263135193837449e-01,8.723326889467387657e-01,8.846390643740937865e-01,8.969454398014488072e-01,9.092518152288037170e-01,9.215581906561586267e-01,9.338645660835136475e-01,9.461709415108685572e-01,9.584773169382234670e-01,9.707836923655785988e-01,9.830900677929335085e-01,9.953964432202884183e-01,1.007702818647643328e+00,1.020009194074998460e+00,1.032315569502353370e+00,1.044621944929708279e+00,1.056928320357063411e+00,1.069234695784418321e+00,1.081541071211773231e+00,1.093847446639128140e+00,1.106153822066483050e+00,1.118460197493838182e+00,1.130766572921193092e+00,1.143072948348548001e+00,1.155379323775903133e+00,1.167685699203258043e+00,1.179992074630613175e+00,1.192298450057967862e+00,1.204604825485322772e+00,1.216911200912677682e+00,1.229217576340032814e+00,1.241523951767387723e+00,1.253830327194742633e+00,1.266136702622097765e+00,1.278443078049452453e+00,1.290749453476807584e+00,1.303055828904162716e+00,1.315362204331517626e+00,1.327668579758872758e+00,1.339974955186227223e+00,1.352281330613582577e+00,1.364587706040937709e+00,1.376894081468292397e+00,1.389200456895647529e+00,1.401506832323002438e+00
2.500000000000000000e+04,1.717520279889225954e+00,1.883510318769569425e+00,2.049089255288390365e+00,2.213287648001952768e+00,2.375220979011970712e+00,2.534084571186657975e+00,2.689146570250355417e+00,2.839740144365405783e+00,2.985255886549369020e+00,3.125135176425132055e+00,3.258865011237184195e+00,3.385974582105845787e+00,3.506033666638828983e+00,3.618652739438063648e+00,3.723484568125368988e+00,3.820226962734538212e+00,1.652552204497707677e+01,1.689934629404364586e+01,1.726220872924382022e+01,1.761419830393124286e+01,1.795542093509052606e+01,1.828599857366123160e+01,1.860606822549524608e+01,1.891578092858839355e+01,1.921530069246488637e+01,1.950480340583076000e+01,1.978447571883887690e+01,2.005451390649842125e+01,2.031512271991378071e+01,2.056651423213638807e+01,2.080890668545038835e+01,2.104252334688946391e+01,2.126759137868823046e+01,2.148434073021194024e+01,2.169300305768312143e+01,2.189381067773447143e+01,2.208699556047329793e+01,2.227278836734362599e+01,2.245141753863122602e+01,2.262310843499084712e+01,2.278808253678071694e+01,2.294655670475484044e+01,2.309874250457276190e+01,2.324484559769589964e+01,2.338506520023031854e+01,2.351959361095468637e+01,2.364861580922697115e+01,2.377230912297815735e+01,2.389084296655151363e+01,2.400437864772290908e+01,2.411306924284736297e+01,2.421705953870273120e+01,2.431648603938382536e+01,2.441147703610207031e+01,2.450215273777681446e+01,2.458862545986234949e+01,2.467099986878070439e+01,2.474937327914054919e+01,2.482383600076634522e+01,2.489447173251065237e+01,2.496135799955609258e+01,2.502456663100723233e+01,2.508416427429749618e+01,2.514021294290197517e+01,2.519277059368913996e+01,2.524189173008674203e+01,2.528762802704137869e+01,2.533002897350630178e+01,2.536914252790406366e+01,2.540501578160437290e+01,2.543769562502829018e+01,2.546722941037522148e+01,2.549366560426178552e+01,2.551705442266151280e+01,2.553744843942297038e+01,2.555490315826630265e+01,2.556947753644505994e+01,2.558123444612701292e+01,2.559024105687631234e+01,2.559656911926344236e+01,2.560029512538446639e+01,2.560150031666951165e+01,2.560027050243509805e+01,2.559669564368664041e+01,2.559086914501532206e+01,2.558288678209410705e+01,2.557284517190655393e+01,2.556083966550969677e+01,2.554696150605913019e+01,2.553129404396645441e+01,2.551390773044559168e+01,2.549485351140537404e+01,2.547415410212005682e+01,2.545179241849263718e+01,2.542769614034746795e+01,2.540171693400061770e+01,2.537360218086183394e+01,2.534295600613075194e+01,2.530918474023129860e+01,2.527141926666316252e+01
2.602040816326530694e+04,1.808740118374045469e+00,1.983769144030413045e+00,2.158446916297092955e+00,2.331734766569582007e+00,2.502679114892639944e+00,2.670407909072888053e+00,2.834125053025222218e+00,2.993103890220396579e+00,3.146680675068119104e+00,3.294248766974259723e+00,3.435254057184911503e+00,3.569191916632854511e+00,3.695605752346180939e+00,3.814087090158057691e+00,3.924276966281524448e+00,4.025868310712905185e+00,1.746414200008955220e+01,1.786176530805728291e+01,1.824797831379816060e+01,1.862287355275984524e+01,1.898656121465571189e+01,1.933916817576233171e+01,1.968083697982987346e+01,2.001172477347454759e+01,2.033200220217191045e+01,2.064185227321537752e+01,2.094146919223987879e+01,2.123105718010949161e+01,2.151082927712539217e+01,2.178100614161229842e+01,2.204181484998231966e+01,2.229348770534769386e+01,2.253626106165843268e+01,2.277037417017250220e+01,2.299606805483352190e+01,2.321358442282841494e+01,2.342316461623892820e+01,2.362504861028561720e+01,2.381947406320488625e+01,2.400667542231095908e+01,2.418688309018045857e+01,2.436032265464789504e+01,2.452721418516843244e+01,2.468777159821441813e+01,2.484220209332386631e+01,2.499070566108211366e+01,2.513347466374924011e+01,2.527069348874298882e+01,2.540253827471179093e+01,2.552917670949836904e+01,2.565076789887846687e+01,2.576746230457489162e+01,2.587940174981381247e+01,2.598671949017101213e+01,2.608954034748603235e+01,2.618798090415523205e+01,2.628214975503939499e+01,2.637214781401280206e+01,2.645806867201848078e+01,2.653999900343074003e+01,2.661801901724174257e+01,2.669220294968025797e+01,2.676261959456810402e+01,2.682933286767721626e+01,2.689240240116548364e+01,2.695188416399000531e+01,2.700783110396836761e+01,2.706029380687825636e+01,2.710932116765044597e+01,2.715496106825039391e+01,2.719726105634554258e+01,2.723626901815649859e+01,2.727203383807912118e+01,2.730460603663492947e+01,2.733403837703636441e+01,2.736038642907366025e+01,2.738370907706639201e+01,2.740406895617041272e+01,2.742153279825740597e+01,2.743617166471213409e+01,2.744806103858763535e+01,2.745728074229996452e+01,2.746391463900378227e+01,2.746805006537669414e+01,2.746977692993467102e+01,2.746918639306601406e+01,2.746636902109438338e+01,2.746141227456985945e+01,2.745439714732876624e+01,2.744539371282472473e+01,2.743445525067215129e+01,2.742161050854397786e+01,2.740685348624435491e+01,2.739012988478356192e+01,2.737131900413406171e+01,2.735020933597995452e+01,2.732646527955112248e+01,2.729958113920887541e+01,2.726881655313567521e+01,2.723310425334776497e+01
2.704081632653061388e+04,1.900884254271973939e+00,2.084972049930564175e+00,2.268764216308823300e+00,2.451154575416132797e+00,2.631122333754158937e+00,2.807729917819902887e+00,2.980118747838476079e+00,3.147503935333868075e+00,3.309168782953478161e+00,3.464459792120705650e+00,3.612782679474658920e+00,3.753599694348980442e+00,3.886428336118723958e+00,4.010841403859963350e+00,4.126468177577286234e+00,4.232996432933401110e+00,1.842344876511649332e+01,1.884553965430237810e+01,1.925577162221571115e+01,1.965424078038121891e+01,2.004106158500128387e+01,2.041636583121630011e+01,2.078030159395656540e+01,2.113303212148364096e+01,2.147473468797920049e+01,2.180559941179415873e+01,2.212582804621571242e+01,2.243563274981577038e+01,2.273523484360921287e+01,2.302486356235509035e+01,2.330475480737519689e+01,2.357514990823862888e+01,2.383629440055760185e+01,2.408843682696872079e+01,2.433182756812769654e+01,2.456671771023513884e+01,2.479335795523381591e+01,2.501199757938985968e+01,2.522288344549120964e+01,2.542625907338946689e+01,2.562236377297274714e+01,2.581143184339621044e+01,2.599369184122251397e+01,2.616936592023546382e+01,2.633866924460105707e+01,2.650180947670027365e+01,2.665898634036363291e+01,2.681039125971616244e+01,2.695620707334515487e+01,2.709660782304933591e+01,2.723175861599769121e+01,2.736181555871984372e+01,2.748692576110997976e+01,2.760722740807945641e+01,2.772284989652483489e+01,2.783391403478864135e+01,2.794053230170442603e+01,2.804280916209982166e+01,2.814084143545386496e+01,2.823471871433224933e+01,2.832452382892080678e+01,2.841033335406136473e+01,2.849221815486800580e+01,2.857024396694405866e+01,2.864447200700932683e+01,2.871495960954042204e+01,2.878176088476680050e+01,2.884492739304025477e+01,2.890450883021455297e+01,2.896055371814575352e+01,2.901311009385447903e+01,2.906222619009436059e+01,2.910795109914833745e+01,2.915033541049836074e+01,2.918943181156493338e+01,2.922529563891022164e+01,2.925798536505161707e+01,2.928756300322680772e+01,2.931409440892367968e+01,2.933764945254135981e+01,2.935830203189803100e+01,2.937612988608098874e+01,2.939121416283609278e+01,2.940363867962354405e+01,2.941348880266422228e+01,2.942084984742104936e+01,2.942580487609964734e+01,2.942843173019942427e+01,2.942879908497308250e+01,2.942696124211709829e+01,2.942295127861288861e+01,2.941677203058300094e+01,2.940838419184827401e+01,2.939769051741246386e+01,2.938451469492700241e+01,2.936857280633083533e+01,2.934943432339917280e+01,2.932646805873205409e+01,2.929876607773023167e+01,2.926503466026780842e+01
2.806122448979591718e+04,1.993986825512323646e+00,2.187161153112040068e+00,2.380091643077479890e+00,2.571606068689729518e+00,2.760618028882900088e+00,2.946126073378739552e+00,3.127210729402112310e+00,3.303030342338862724e+00,3.472816555185602283e+00,3.635870099618474072e+00,3.791557384886770077e+00,3.939308175440896509e+00,4.078614463741427443e+00,4.209030484069628208e+00,4.330173684055948158e+00,4.441726376920393626e+00,1.940343915947598674e+01,1.985066599529347187e+01,2.028558515457504896e+01,2.070829631864187803e+01,2.111891820367075923e+01,2.151758751690699967e+01,2.190445785744497798e+01,2.227969856790669567e+01,2.264349354361113953e+01,2.299604000610010957e+01,2.333754724813104886e+01,2.366823535746934581e+01,2.398833392697677169e+01,2.429808075860552918e+01,2.459772056894870929e+01,2.488750370396967071e+01,2.516768487042794433e+01,2.543852189133901476e+01,2.570027449255154295e+01,2.595320312720211575e+01,2.619756784441527131e+01,2.643362720817462375e+01,2.666163727178939880e+01,2.688185061285844313e+01,2.709451543296587772e+01,2.729987472607630750e+01,2.749816551837269785e+01,2.768961818239911210e+01,2.787445582723744053e+01,2.805289376608251217e+01,2.822513906196436295e+01,2.839139015182162140e+01,2.855183654861598086e+01,2.870665862070310936e+01,2.885602744722767454e+01,2.900010474788729553e+01,2.913904288515597685e+01,2.927298493649031386e+01,2.940206483406856819e+01,2.952640756910122022e+01,2.964612945765920671e+01,2.976133846473210909e+01,2.987213458303930125e+01,2.997861026303292675e+01,3.008085089020824299e+01,3.017893530591078033e+01,3.027293636748207106e+01,3.036292154350394412e+01,3.044895353966975193e+01,3.053109095056947098e+01,3.060938893237891634e+01,3.068389989107478399e+01,3.075467418035655598e+01,3.082176080286673781e+01,3.088520810764299895e+01,3.094506447583911424e+01,3.100137898569735739e+01,3.105420204642176785e+01,3.110358598895249216e+01,3.114958559959044848e+01,3.119225857986013750e+01,3.123166591279724713e+01,3.126787211181505199e+01,3.130094532320933354e+01,3.133095724688035588e+01,3.135798283154695554e+01,3.138209969001740873e+01,3.140338716614551018e+01,3.142192496681866842e+01,3.143779124811533521e+01,3.145106001239915017e+01,3.146179762938839630e+01,3.147005823452025908e+01,3.147587767543172177e+01,3.147926556202488868e+01,3.148019481220054772e+01,3.147858785075539245e+01,3.147429827719285100e+01,3.146708631259417999e+01,3.145658557523511334e+01,3.144225757054618242e+01,3.142332846533413360e+01,3.139869982715010011e+01,3.136682031507736923e+01
2.908163265306122412e+04,2.088076257709591488e+00,2.290371652583080397e+00,2.492471568680094673e+00,2.693138978267604511e+00,2.891223267071122205e+00,3.085660558304264889e+00,3.275471909383365965e+00,3.459760227277247413e+00,3.637706676122529181e+00,3.808567216018921897e+00,3.971669741389217023e+00,4.126412105103347550e+00,4.272261139913955397e+00,4.408752635245569707e+00,4.535492103636154404e+00,4.652156081771411600e+00,2.040410999446257989e+01,2.087714098488822501e+01,2.133741540173274487e+01,2.178503648956653649e+01,2.222012721774945732e+01,2.264282919858401399e+01,2.305330154801268705e+01,2.345171969541924994e+01,2.383827414936559208e+01,2.421316922637662472e+01,2.457662175014299066e+01,2.492885972873758860e+01,2.527012101761402363e+01,2.560065197627078248e+01,2.592070612650828920e+01,2.623054282017576355e+01,2.653042592419732060e+01,2.682062253047643097e+01,2.710140169801911370e+01,2.737303323427595103e+01,2.763578652230085453e+01,2.788992939986104247e+01,2.813572709611726097e+01,2.837344123094758430e+01,2.860332888129901718e+01,2.882564171867116798e+01,2.904062522056851492e+01,2.924851795888009320e+01,2.944955096696867258e+01,2.964394718687495001e+01,2.983192099740114500e+01,3.001367782327277567e+01,3.018941382504382176e+01,3.035931566891609634e+01,3.052356037517850496e+01,3.068231524352908934e+01,3.083573785327923744e+01,3.098397613584619137e+01,3.112716851696427156e+01,3.126544412551151098e+01,3.139892306574580516e+01,3.152771674949764957e+01,3.165192828466160080e+01,3.177165291623312271e+01,3.188697851579285114e+01,3.199798611540347082e+01,3.210475048150925659e+01,3.220734072432831852e+01,3.230582093796287779e+01,3.240025086618165773e+01,3.249068658848625546e+01,3.257718122065755040e+01,3.265978562347565628e+01,3.273854911263931911e+01,3.281352016216413858e+01,3.288474709252399464e+01,3.295227873360566662e+01,3.301616505103665844e+01,3.307645772257601635e+01,3.313321064893112577e+01,3.318648038045430582e+01,3.323632643752857518e+01,3.328281149786063509e+01,3.332600141808085681e+01,3.336596504964033727e+01,3.340277379948231129e+01,3.343650087366722090e+01,3.346722012610457853e+01,3.349500441347015567e+01,3.351992332942884190e+01,3.354204015381927206e+01,3.356140780174386862e+01,3.357806348809983632e+01,3.359202172700403821e+01,3.360326515091563238e+01,3.361173244312129782e+01,3.361730240217875831e+01,3.361977275525033804e+01,3.361883174157652832e+01,3.361401958919522315e+01,3.360467562977970601e+01,3.358986464155211138e+01,3.356827257353261729e+01,3.353805620849508529e+01
3.010204081632653106e+04,2.183176319393744791e+00,2.394633057247510077e+00,2.605939622661106458e+00,2.815795258152300917e+00,3.022986348265377821e+00,3.226387865201342464e+00,3.424962661808147679e+00,3.617759397817846612e+00,3.803909824819989183e+00,3.982626035289450250e+00,4.153198124837357064e+00,4.314992547198563067e+00,4.467451276908112945e+00,4.610091748940513767e+00,4.742507426903363132e+00,4.864368766771011821e+00,2.142545807322417417e+01,2.192496126826239333e+01,2.241125884529581214e+01,2.288445760532833617e+01,2.334468476383221613e+01,2.379208683082794451e+01,2.422682843148715648e+01,2.464909107404092836e+01,2.505907187206948805e+01,2.545698222852954729e+01,2.584304648914879010e+01,2.621750057304657133e+01,2.658059058862079382e+01,2.693257144285839999e+01,2.727370545227310927e+01,2.760426096364114557e+01,2.792451099259473324e+01,2.823473188793724731e+01,2.853520202927295912e+01,2.882620056519408536e+01,2.910800619885010576e+01,2.938089602724485871e+01,2.964514444007170724e+01,2.990102208333321698e+01,3.014879489227720555e+01,3.038872319788991661e+01,3.062106090987497353e+01,3.084605477917318339e+01,3.106394374185625651e+01,3.127495834584088641e+01,3.147932026120051319e+01,3.167724187426851046e+01,3.186892596517032317e+01,3.205456546790965433e+01,3.223434331164857269e+01,3.240843234136215045e+01,3.257699531577188168e+01,3.274018497984291542e+01,3.289814420915304538e+01,3.305100622288320977e+01,3.319889486206713514e+01,3.334192492947393305e+01,3.348020258728108445e+01,3.361382580858187197e+01,3.374288487840674122e+01,3.386746293998912449e+01,3.398763658160071088e+01,3.410347645915997816e+01,3.421504794951961514e+01,3.432241182902998133e+01,3.442562497158935031e+01,3.452474105991676367e+01,3.461981130321855460e+01,3.471088515366340488e+01,3.479801101323569412e+01,3.488123692139336640e+01,3.496061121260684246e+01,3.503618313114883165e+01,3.510800338839278822e+01,3.517612464524383853e+01,3.524060189903083540e+01,3.530149275005594944e+01,3.535885751777953345e+01,3.541275917000086793e+01,3.546326301994680819e+01,3.551043613531813037e+01,3.555434638927385294e+01,3.559506106496304056e+01,3.563264490100971216e+01,3.566715743318380305e+01,3.569864944429426856e+01,3.572715827574828040e+01,3.575270167386803166e+01,3.577526973258703435e+01,3.579481433760975051e+01,3.581123529441910591e+01,3.582436200132114124e+01,3.583392905862856992e+01,3.583954350631405106e+01,3.584064032642382358e+01,3.583642122223658077e+01,3.582576914077617403e+01,3.580712693745461905e+01,3.577832194669524313e+01
3.112244897959183800e+04,2.279306977679265600e+00,2.499970201123277835e+00,2.720525854500318363e+00,2.939610375202373671e+00,3.155948202503480626e+00,3.368354278688616255e+00,3.575734373185466719e+00,3.777083961271275214e+00,3.971486338060747912e+00,4.158110540682714351e+00,4.336209508281362091e+00,4.505118751636010721e+00,4.664255649643832768e+00,4.813119352324960687e+00,4.951291158700480644e+00,5.078435158176957565e+00,2.246748019073788427e+01,2.299412348188414512e+01,2.350711195759425109e+01,2.400655596821943760e+01,2.449258696799085655e+01,2.496535635701542688e+01,2.542503426176796211e+01,2.587180826109391063e+01,2.630588206503453108e+01,2.672747415407947358e+01,2.713681638673442720e+01,2.753415258352499251e+01,2.791973709574918061e+01,2.829383336740990273e+01,2.865671249880472260e+01,2.900865182022162969e+01,2.934993348406567648e+01,2.968084308354854528e+01,3.000166830578436716e+01,3.031269762677611723e+01,3.061421905534689358e+01,3.090651893256802651e+01,3.118988079268900648e+01,3.146458429098567677e+01,3.173090420320535188e+01,3.198910950098694528e+01,3.223946250627538035e+01,3.248221812787854645e+01,3.271762318205361453e+01,3.294591579860494335e+01,3.316732491328544086e+01,3.338206984668637745e+01,3.359035996922450096e+01,3.379239445130369290e+01,3.398836209722345814e+01,3.417844126092908397e+01,3.436279984140885091e+01,3.454159535490081367e+01,3.471497508108910779e+01,3.488307627988709214e+01,3.504602647528467685e+01,3.520394380245458876e+01,3.535693741407942525e+01,3.550510794173677454e+01,3.564854800778630306e+01,3.578734278324368745e+01,3.592157058668828995e+01,3.605130351910391084e+01,3.617660812922100178e+01,3.629754610357646527e+01,3.641417497507132595e+01,3.652654884327293416e+01,3.663471909906617441e+01,3.673873514541119079e+01,3.683864510500978895e+01,3.693449650439656295e+01,3.702633692245107255e+01,3.711421458940452567e+01,3.719817892003386817e+01,3.727828096176366302e+01,3.735457373467660602e+01,3.742711243575584490e+01,3.749595447377493684e+01,3.756115929374186635e+01,3.762278794020291883e+01,3.768090229634754706e+01,3.773556391981024660e+01,3.778683237507474502e+01,3.783476293468456220e+01,3.787940348456508133e+01,3.792079041913161319e+01,3.795894324440460110e+01,3.799385751466600425e+01,3.802549559935367540e+01,3.805377459558693687e+01,3.807855044324757188e+01,3.809959692594956948e+01,3.811657769326649969e+01,3.812900862324148221e+01,3.813620660773698035e+01,3.813721893720297373e+01,3.813072446848723729e+01,3.811489296744252186e+01,3.808718119139446401e+01
3.214285714285714494e+04,2.376485088248319055e+00,2.606404073559914991e+00,2.836255699810739550e+00,3.064614401501201790e+00,3.290143595211389993e+00,3.511599179430864748e+00,3.727830832423288498e+00,3.937781790518557923e+00,4.140487746131684688e+00,4.335075407667122960e+00,4.520761131767723207e+00,4.696849891574279567e+00,4.862734699826059881e+00,5.017896476124261262e+00,5.161904242800630982e+00,5.294415458980670230e+00,2.353017313378710895e+01,2.408462425348878355e+01,2.462497120165350495e+01,2.515132787062051989e+01,2.566382994574259868e+01,2.616263370928419718e+01,2.664791478078942077e+01,2.711986680116271131e+01,2.757870006801281093e+01,2.802464013011333321e+01,2.845792634912201180e+01,2.887881043694740058e+01,2.928755497734293911e+01,2.968443194043436506e+01,3.006972119893475437e+01,3.044370905476601052e+01,3.080668678468689237e+01,3.115894921331619472e+01,3.150079332165264745e+01,3.183251689881472757e+01,3.215441724428018944e+01,3.246678992738907255e+01,3.276992761030405177e+01,3.306411894001603002e+01,3.334964751422118923e+01,3.362679092558035876e+01,3.389581988747306696e+01,3.415699744448518516e+01,3.441057826956924259e+01,3.465680804939496085e+01,3.489592295869420724e+01,3.512814922377544491e+01,3.535370277478592271e+01,3.557278898574790560e+01,3.578560250087233641e+01,3.599232714515535747e+01,3.619313591696229793e+01,3.638819105963234080e+01,3.657764420915509618e+01,3.676163661435745666e+01,3.694029942591093629e+01,3.711375405017022189e+01,3.728211256360073378e+01,3.744547818341641943e+01,3.760394578962569057e+01,3.775760249371200672e+01,3.790652824870287674e+01,3.805079649520606466e+01,3.819047483762106054e+01,3.832562574433768532e+01,3.845630726524363041e+01,3.858257375925911248e+01,3.870447662389742050e+01,3.882206501789939779e+01,3.893538656691254118e+01,3.904448804074669255e+01,3.914941598902715469e+01,3.925021731990958784e+01,3.934693980384148659e+01,3.943963248101324126e+01,3.952834594694834891e+01,3.961313248540950838e+01,3.969404601112258746e+01,3.977114177632446967e+01,3.984447578426539138e+01,3.991410383875836487e+01,3.998008014062858706e+01,4.004245531800740565e+01,4.010127374580723369e+01,4.015656996753696006e+01,4.020836397577950549e+01,4.025665503026206693e+01,4.030141358590234546e+01,4.034257075482128130e+01,4.038000451707795690e+01,4.041352159598322658e+01,4.044283348092731245e+01,4.046752444433180784e+01,4.048700844934303689e+01,4.050047040295766010e+01,4.050678498206293909e+01,4.050440275593198436e+01,4.049118770993051442e+01,4.046418108851680273e+01
3.316326530612244824e+04,2.474724950750985641e+00,2.713952494408395033e+00,2.953150775340955825e+00,3.190832924741124010e+00,3.425602145215785654e+00,3.656156160267182376e+00,3.881289435311133573e+00,4.099893808000261153e+00,4.310958128996196237e+00,4.513567426487361089e+00,4.706901986493590151e+00,4.890236604491607686e+00,5.062940128352860114e+00,5.224475290958396023e+00,5.374398732297592574e+00,5.512361040742888463e+00,2.461353368093760707e+01,2.519646020205300019e+01,2.576483303116688717e+01,2.631876959497136426e+01,2.685840980201686534e+01,2.738391480849795556e+01,2.789546571848204692e+01,2.839326222605232530e+01,2.887752120715252246e+01,2.934847526923623207e+01,2.980637126711766172e+01,3.025146879367787278e+01,3.068403865427528387e+01,3.110436133384181190e+01,3.151272546569178346e+01,3.190942631103760618e+01,3.229476425808118023e+01,3.266904334933166609e+01,3.303256984550458952e+01,3.338565083396568411e+01,3.372859288922494869e+01,3.406170079245379867e+01,3.438527631640884152e+01,3.469961708152245450e+01,3.500501548812778196e+01,3.530175772946888912e+01,3.559012288869227092e+01,3.587038212315385266e+01,3.614279793803000729e+01,3.640762355078310009e+01,3.666510234729688023e+01,3.691546742984646556e+01,3.715894125644624069e+01,3.739573537055123609e+01,3.762605021954163931e+01,3.785007505990482457e+01,3.806798794671389174e+01,3.827995580430613387e+01,3.848613457507354241e+01,3.868666944264563057e+01,3.888169512559763064e+01,3.907133623750427631e+01,3.925570770888700878e+01,3.943491526644621104e+01,3.960905596452270316e+01,3.977821876374149213e+01,3.994248515128295907e+01,4.010192979702107863e+01,4.025662123935499892e+01,4.040662259411539736e+01,4.055199227937525563e+01,4.069278474832145065e+01,4.082905122153058386e+01,4.096084040893541811e+01,4.108819921055355451e+01,4.121117338344470937e+01,4.132980816044386074e+01,4.144414880380052324e+01,4.155424107385154997e+01,4.166013158910146075e+01,4.176186804937548658e+01,4.185949928777539952e+01,4.195307510965029252e+01,4.204264586720893249e+01,4.212826170611003818e+01,4.220997140448054807e+01,4.228782070413171823e+01,4.236185000659370559e+01,4.243209127063303754e+01,4.249856389985275484e+01,4.256126934409033424e+01,4.262018404981569120e+01,4.267525027265141802e+01,4.272636409478815267e+01,4.277335974940793761e+01,4.281598900976890576e+01,4.285389390069025950e+01,4.288657025389880317e+01,4.291331852726475660e+01,4.293317663285099428e+01,4.294482692647110156e+01,4.294646542643393161e+01,4.293561477013647476e+01,4.290885168650488168e+01
