nan,1.250000000000000278e-01,1.607142857142857262e-01,1.964285714285714524e-01,2.321428571428571508e-01,2.678571428571428492e-01,3.035714285714286031e-01,3.392857142857143016e-01,3.750000000000000000e-01,4.107142857142857539e-01,4.464285714285714524e-01,4.821428571428570953e-01,5.178571428571429047e-01,5.535714285714286031e-01,5.892857142857143016e-01,6.250000000000000000e-01,6.607142857142856984e-01,6.964285714285713969e-01,7.321428571428570953e-01,7.678571428571429047e-01,8.035714285714284921e-01,8.392857142857141906e-01,8.750000000000000000e-01,9.107142857142856984e-01,9.464285714285713969e-01,9.821428571428572063e-01,1.017857142857142794e+00,1.053571428571428603e+00,1.089285714285714191e+00,1.125000000000000000e+00,1.160714285714285809e+00,1.196428571428571397e+00,1.232142857142857206e+00,1.267857142857142794e+00,1.303571428571428381e+00,1.339285714285714191e+00,1.374999999999999778e+00,1.410714285714285809e+00,1.446428571428571397e+00,1.482142857142857206e+00,1.517857142857142794e+00,1.553571428571428381e+00,1.589285714285714191e+00,1.625000000000000000e+00,1.660714285714285809e+00,1.696428571428571397e+00,1.732142857142856984e+00,1.767857142857142794e+00,1.803571428571428381e+00,1.839285714285714413e+00,1.875000000000000000e+00
2.500000000000000000e+04,1.902798931838804553e+00,2.583148301686124526e+00,3.257197012990300067e+00,3.935516112568236746e+00,4.622481256808907091e+00,5.320066254975873044e+00,6.029265561553662778e+00,6.750628438417010102e+00,7.484481165337000697e+00,8.231029123732742647e+00,8.990407789979229847e+00,9.762710032824704953e+00,1.054800158958887124e+01,1.134633027294535523e+01,1.215773167613067685e+01,1.298223283414614393e+01,1.381985464548732878e+01,1.467061351695467408e+01,1.553452250712362037e+01,1.641159213788729687e+01,1.730183098115522000e+01,1.820524609009570938e+01,1.912184332089612937e+01,2.005162757612184876e+01,2.099460299107204264e+01,2.195077307811250122e+01,2.292014083963207582e+01,2.390270885729710670e+01,2.489847936320608923e+01,2.590745429708448100e+01,2.692963535261195673e+01,2.796502401521593129e+01,2.901362159310958333e+01,3.007542924294227760e+01,3.115044799112185459e+01,3.223867875163712426e+01,3.334012234103307293e+01,3.445477949105514170e+01,3.558265085937508587e+01,3.672373703872955275e+01,3.787803856473866659e+01,3.904555592262229169e+01,4.022628955298991116e+01,4.142023985685072773e+01,4.262740719996407535e+01,4.384779191662805431e+01,4.508139431299046151e+01,4.632821466994987247e+01,4.758825324570576498e+01,4.886151027800526947e+01
2.602040816326530694e+04,2.038382725695429443e+00,2.778202141547973625e+00,3.508467008216182403e+00,4.241603617141916693e+00,4.982931148055740778e+00,5.734861219243133412e+00,6.498607320855986025e+00,7.274837884358228202e+00,8.063948850637203236e+00,8.866188792843967548e+00,9.681721292391674893e+00,1.051065825165885670e+01,1.135307873669646206e+01,1.220904016226692157e+01,1.307858520900774124e+01,1.396174625425723548e+01,1.485854829798629240e+01,1.576901094705807260e+01,1.669314979278977162e+01,1.763097738741164378e+01,1.858250394918414372e+01,1.954773788013880420e+01,2.052668615200541780e+01,2.151935459784383653e+01,2.252574813518253549e+01,2.354587093870813419e+01,2.457972657531965055e+01,2.562731811077264865e+01,2.668864819464606697e+01,2.776371912859991298e+01,2.885253292163347183e+01,2.995509133514226363e+01,3.107139591990343419e+01,3.220144804662760407e+01,3.334524893134480550e+01,3.450279965661516002e+01,3.567410118934443375e+01,3.685915439582077369e+01,3.805796005446620001e+01,3.927051886669717362e+01,4.049683146621382690e+01,4.173689842697690011e+01,4.299072027008261188e+01,4.425829746971075451e+01,4.553963045828670175e+01,4.683471963097731106e+01,4.814356534961802936e+01,4.946616794615378154e+01,5.080252772566225161e+01,5.215264496901771452e+01
2.704081632653061388e+04,2.176003430111038472e+00,2.978362394863253382e+00,3.767556170522049719e+00,4.557918970377857093e+00,5.355849865508295338e+00,6.164272051405684572e+00,6.984655917412907478e+00,7.817809543043154008e+00,8.664210322390394126e+00,9.524157206918765439e+00,1.039784648061001526e+01,1.128541214384888747e+01,1.218694870614950254e+01,1.310252468766781497e+01,1.403219095270581640e+01,1.497598603825106167e+01,1.593393966698540609e+01,1.690607512613961561e+01,1.789241091676326434e+01,1.889296192133273067e+01,1.990774024594555414e+01,2.093675583806947671e+01,2.198001694657616056e+01,2.303753046906627944e+01,2.410930221740461121e+01,2.519533712306556694e+01,2.629563939761310465e+01,2.741021265934009676e+01,2.853906003410354586e+01,2.968218423628414016e+01,3.083958763429235361e+01,3.201127230395405832e+01,3.319724007231253893e+01,3.439749255379444293e+01,3.561203118024820213e+01,3.684085722603241209e+01,3.808397182907934564e+01,3.934137600866785789e+01,4.061307068048965618e+01,4.189905666947681340e+01,4.319933472077111958e+01,4.451390550913931321e+01,4.584276964708745794e+01,4.718592769187726077e+01,4.854338015161560804e+01,4.991512749055581821e+01,5.130117013372703383e+01,5.270150847099086633e+01,5.411614286060313361e+01,5.554507363235271811e+01
2.806122448979591718e+04,2.315334217284082730e+00,3.183307311645983351e+00,4.034218080664928152e+00,4.884269661810415109e+00,5.741079630356675345e+00,6.608164032431965929e+00,7.487292673391541697e+00,8.379436386410535675e+00,9.285167326669158783e+00,1.020484292292932160e+01,1.113869733279680041e+01,1.208689009407810744e+01,1.304953352842139225e+01,1.402670894193213691e+01,1.501847660589068312e+01,1.602488212745435447e+01,1.704596064304466552e+01,1.808173965377811143e+01,1.913224098865689982e+01,2.019748219271971479e+01,2.127747752719067975e+01,2.237223870233265188e+01,2.348177542268052065e+01,2.460609579833143457e+01,2.574520665912733364e+01,2.689911379743826103e+01,2.806782215776754086e+01,2.925133598627746423e+01,3.044965894977496745e+01,3.166279423118967529e+01,3.289074460678571654e+01,3.413351250905606094e+01,3.539110007830161919e+01,3.666350920519958834e+01,3.795074156614487748e+01,3.925279865275525992e+01,4.056968179663510199e+01,4.190139219026118411e+01,4.324793090468322276e+01,4.460929890458916702e+01,4.598549706118304670e+01,4.737652616323713772e+01,4.878238692661231113e+01,5.020308000248943614e+01,5.163860598451091022e+01,5.308896541499619559e+01,5.455415879036932836e+01,5.603418656591188096e+01,5.752904915993779156e+01,5.903874695746913659e+01
2.908163265306122412e+04,2.456070152012785890e+00,3.392703232660347012e+00,4.308192308600123255e+00,5.220452290095587422e+00,6.138454457616538740e+00,7.066396111983446637e+00,8.006393873964716690e+00,8.959607265261672282e+00,9.926718156742177612e+00,1.090815154730120007e+01,1.190418526403023947e+01,1.291500822974699325e+01,1.394075322287237917e+01,1.498151620832450348e+01,1.603736822528242456e+01,1.710836296237657805e+01,1.819454173613929626e+01,1.929593685244720902e+01,2.041257393085090754e+01,2.154447354609956733e+01,2.269165240953232399e+01,2.385412423385221814e+01,2.503190037590168515e+01,2.622499032111076644e+01,2.743340205326661874e+01,2.865714234003769434e+01,2.989621695580319383e+01,3.115063085726567138e+01,3.242038832311094865e+01,3.370549306601211015e+01,3.500594832315787386e+01,3.632175692995681260e+01,3.765292138045324322e+01,3.899944387716686833e+01,4.036132637245290056e+01,4.173857060301929067e+01,4.313117811888496789e+01,4.453915030779641171e+01,4.596248841591155099e+01,4.740119356539980089e+01,4.885526676948185809e+01,5.032470894533303607e+01,5.180952092519564189e+01,5.330970346598457610e+01,5.482525725761764335e+01,5.635618293026597314e+01,5.790248106068180789e+01,5.946415217773951412e+01,6.104119676730221045e+01,6.263361527650442895e+01
3.010204081632653106e+04,2.597934023498736700e+00,3.606207232981918587e+00,4.589204517458687071e+00,5.566252234206138461e+00,6.547799832749280569e+00,7.538820650996440165e+00,8.541830569168253007e+00,9.558206755907384888e+00,1.058875753250023166e+01,1.163398563941413855e+01,1.269421904774369914e+01,1.376968035601327500e+01,1.486052574328261500e+01,1.596686791435314490e+01,1.708879018597212607e+01,1.822635544831761933e+01,1.937961204559298523e+01,2.054859774102515146e+01,2.173334245498990214e+01,2.293387019647274983e+01,2.415020045160204987e+01,2.538234919902320286e+01,2.663032966390947465e+01,2.789415288575590779e+01,2.917382815141792918e+01,3.046936332924176583e+01,3.178076512964637956e+01,3.310803931035660241e+01,3.445119083952104688e+01,3.581022402645479730e+01,3.718514262725732067e+01,3.857594993075953482e+01,3.998264882894183359e+01,4.140524187499902098e+01,4.284373133150700141e+01,4.429811921060350244e+01,4.576840730768596899e+01,4.725459722981361921e+01,4.875669041975996976e+01,5.027468817647253019e+01,5.180859167255077580e+01,5.335840196923712142e+01,5.492412002932371706e+01,5.650574672830533984e+01,5.810328286405096065e+01,5.971672916521688990e+01,6.134608629859001638e+01,6.299135487551602353e+01,6.465253545754180209e+01,6.632962856138397001e+01
3.112244897959183800e+04,2.740680744661305290e+00,3.823470326292241595e+00,4.876966782436787717e+00,5.921443378034256355e+00,6.968932398310047738e+00,8.025283163339436143e+00,9.093468372463179961e+00,1.017511500343409381e+01,1.127117647696358205e+01,1.238224461270714016e+01,1.350870473522610027e+01,1.465081788926295125e+01,1.580876692210880741e+01,1.698268358448636661e+01,1.817266514087300422e+01,1.937878492025368971e+01,2.060109922940397453e+01,2.183965200778945359e+01,2.309447803804008714e+01,2.436560520795051588e+01,2.565305613487988623e+01,2.695684935241871116e+01,2.827700019078619320e+01,2.961352143922957936e+01,3.096642385081446847e+01,3.233571653163019732e+01,3.372140724411553236e+01,3.512350264580246773e+01,3.654200847895463511e+01,3.797692972248104581e+01,3.942827071459199573e+01,4.089603525256084282e+01,4.238022667442300673e+01,4.388084792631296693e+01,4.539790161829863280e+01,4.693139007094113424e+01,4.848131535432704453e+01,5.004767932095509764e+01,5.163048363357751924e+01,5.322972978887428752e+01,5.484541913767192511e+01,5.647755290227939184e+01,5.812613219140997245e+01,5.979115801307278844e+01,6.147263128574719104e+01,6.317055284810349747e+01,6.488492346748354578e+01,6.661574384732335830e+01,6.836301463366797293e+01,7.012673642090493331e+01
3.214285714285714494e+04,2.884100033823004505e+00,4.044141170001424257e+00,5.171178155935351128e+00,6.285787901902526897e+00,7.401659655383662439e+00,8.525622058282614546e+00,9.661167256673657278e+00,1.081020756185847098e+01,1.197386218997962004e+01,1.315282463342903085e+01,1.434754557319533852e+01,1.555832978901194785e+01,1.678539041345884897e+01,1.802888079181529690e+01,1.928891397929875851e+01,2.056557510699417080e+01,2.185892947295745969e+01,2.316902798289112653e+01,2.449591089790161647e+01,2.583961047200950389e+01,2.720015284419257640e+01,2.857755941920823872e+01,2.997184789109956071e+01,3.138303301261412059e+01,3.281112718108801118e+01,3.425614088984492867e+01,3.571808307975142327e+01,3.719696141574526393e+01,3.869278250635502303e+01,4.020555207945251652e+01,4.173527512408131201e+01,4.328195600575552504e+01,4.484559856083871665e+01,4.642620617429723495e+01,4.802378184414545359e+01,4.963832823516389681e+01,5.126984772391698897e+01,5.291834243666838233e+01,5.458381428146888936e+01,5.626626497543369965e+01,5.796569606803029728e+01,5.968210896104021401e+01,6.141550492573728093e+01,6.316588511772263104e+01,6.493325058978327036e+01,6.671760230307198469e+01,6.851894113686151400e+01,7.033726789707779403e+01,7.217258332378970920e+01,7.402488809779822532e+01
3.316326530612244824e+04,3.028017301034646280e+00,4.267870166481289473e+00,5.471525507461899807e+00,6.659036155688090375e+00,7.845779685222768585e+00,9.039668385794971783e+00,1.024478134809215035e+01,1.146335523149576652e+01,1.269669791924655478e+01,1.394561851708999711e+01,1.521064191946466515e+01,1.649212248824237292e+01,1.779030763478167287e+01,1.910537510865715305e+01,2.043745578466250024e+01,2.178664809460338603e+01,2.315302745711862897e+01,2.453665261030333156e+01,2.593756996857162278e+01,2.735581668535978039e+01,2.879142284787700845e+01,3.024441307728416817e+01,3.171480771372017315e+01,3.320262370639477467e+01,3.470787529083118983e+01,3.623057451027359832e+01,3.777073162148932539e+01,3.932835541376496025e+01,4.090345346198726872e+01,4.249603232915310969e+01,4.410609772970482823e+01,4.573365466224755949e+01,4.737870751813548509e+01,4.904126017089119216e+01,5.072131605028857138e+01,5.241887820408110343e+01,5.413394934971218930e+01,5.586653191785287476e+01,5.761662808923471601e+01,5.938423982595130468e+01,6.116936889817295508e+01,6.297201690704063992e+01,6.479218530436025958e+01,6.662987540960735089e+01,6.848508842466168289e+01,7.035782544661634574e+01,7.224808747894904570e+01,7.415587544129473940e+01,7.608119017801963935e+01,7.802403246576444928e+01
