1.902798931838804553e+00,2.583148301686124526e+00,3.257197012990301399e+00,3.935516112568236746e+00,4.622481256808907091e+00,5.320066254975873044e+00,6.029265561553665442e+00,6.750628438417012767e+00,7.484481165337001585e+00,8.231029123732746200e+00,8.990407789979229847e+00,9.762710032824704953e+00,1.054800158958887479e+01,1.134633027294535523e+01,1.215773167613067685e+01,1.298223283414614393e+01,1.381985464548732878e+01,1.467061351695467408e+01,1.553452250712362748e+01,1.641159213788730753e+01,1.730183098115523066e+01,1.820524609009571648e+01,1.912184332089612937e+01,2.005162757612184876e+01,2.099460299107204264e+01,2.195077307811250122e+01,2.292014083963207582e+01,2.390270885729713868e+01,2.489847936320607147e+01,2.590745429708448100e+01,2.692963535261197094e+01,2.796502401521593129e+01,2.901362159310960465e+01,3.007542924294229536e+01,3.115044799112187590e+01,3.223867875163712426e+01,3.334012234103310846e+01,3.445477949105516302e+01,3.558265085937506456e+01,3.672373703872952433e+01,3.787803856473869502e+01,3.904555592262234143e+01,4.022628955298988274e+01,4.142023985685070642e+01,4.262740719996407535e+01,4.384779191662805431e+01,4.508139431299042599e+01,4.632821466994987247e+01,4.758825324570576498e+01,4.886151027800526947e+01
2.038382725695429443e+00,2.778202141547973625e+00,3.508467008216182403e+00,4.241603617141916693e+00,4.982931148055740778e+00,5.734861219243132524e+00,6.498607320855987801e+00,7.274837884358230866e+00,8.063948850637203236e+00,8.866188792843969324e+00,9.681721292391674893e+00,1.051065825165886025e+01,1.135307873669646206e+01,1.220904016226692690e+01,1.307858520900774124e+01,1.396174625425723548e+01,1.485854829798629240e+01,1.576901094705807793e+01,1.669314979278977162e+01,1.763097738741165443e+01,1.858250394918414372e+01,1.954773788013881131e+01,2.052668615200541780e+01,2.151935459784385429e+01,2.252574813518253549e+01,2.354587093870815551e+01,2.457972657531967542e+01,2.562731811077266997e+01,2.668864819464607763e+01,2.776371912859991298e+01,2.885253292163347183e+01,2.995509133514226363e+01,3.107139591990343419e+01,3.220144804662762539e+01,3.334524893134480550e+01,3.450279965661516002e+01,3.567410118934443375e+01,3.685915439582080921e+01,3.805796005446620001e+01,3.927051886669717362e+01,4.049683146621385532e+01,4.173689842697690011e+01,4.299072027008261188e+01,4.425829746971076872e+01,4.553963045828668044e+01,4.683471963097733237e+01,4.814356534961805778e+01,4.946616794615385260e+01,5.080252772566236530e+01,5.215264496901767188e+01
2.176003430111038472e+00,2.978362394863253382e+00,3.767556170522050607e+00,4.557918970377857093e+00,5.355849865508295338e+00,6.164272051405684572e+00,6.984655917412907478e+00,7.817809543043150455e+00,8.664210322390394126e+00,9.524157206918765439e+00,1.039784648061001526e+01,1.128541214384889457e+01,1.218694870614950609e+01,1.310252468766781497e+01,1.403219095270581640e+01,1.497598603825106167e+01,1.593393966698540609e+01,1.690607512613962626e+01,1.789241091676326789e+01,1.889296192133272001e+01,1.990774024594555414e+01,2.093675583806947316e+01,2.198001694657617122e+01,2.303753046906629365e+01,2.410930221740461121e+01,2.519533712306558826e+01,2.629563939761310820e+01,2.741021265934009676e+01,2.853906003410354586e+01,2.968218423628414016e+01,3.083958763429238203e+01,3.201127230395405832e+01,3.319724007231251051e+01,3.439749255379444293e+01,3.561203118024825187e+01,3.684085722603238366e+01,3.808397182907937406e+01,3.934137600866788631e+01,4.061307068048965618e+01,4.189905666947684182e+01,4.319933472077111958e+01,4.451390550913931321e+01,4.584276964708739399e+01,4.718592769187729630e+01,4.854338015161565068e+01,4.991512749055578269e+01,5.130117013372706936e+01,5.270150847099094449e+01,5.411614286060316914e+01,5.554507363235271811e+01
2.315334217284082730e+00,3.183307311645983351e+00,4.034218080664929040e+00,4.884269661810416885e+00,5.741079630356675345e+00,6.608164032431965929e+00,7.487292673391541697e+00,8.379436386410535675e+00,9.285167326669158783e+00,1.020484292292931983e+01,1.113869733279680574e+01,1.208689009407810744e+01,1.304953352842138692e+01,1.402670894193213691e+01,1.501847660589068312e+01,1.602488212745435803e+01,1.704596064304466552e+01,1.808173965377811143e+01,1.913224098865689982e+01,2.019748219271969347e+01,2.127747752719069041e+01,2.237223870233266609e+01,2.348177542268052065e+01,2.460609579833143457e+01,2.574520665912733364e+01,2.689911379743828235e+01,2.806782215776756217e+01,2.925133598627745357e+01,3.044965894977498877e+01,3.166279423118967529e+01,3.289074460678571654e+01,3.413351250905606094e+01,3.539110007830159077e+01,3.666350920519961676e+01,3.795074156614489880e+01,3.925279865275528834e+01,4.056968179663507357e+01,4.190139219026114858e+01,4.324793090468322276e+01,4.460929890458914571e+01,4.598549706118307512e+01,4.737652616323713772e+01,4.878238692661228271e+01,5.020308000248947167e+01,5.163860598451093864e+01,5.308896541499623822e+01,5.455415879036934967e+01,5.603418656591192359e+01,5.752904915993779156e+01,5.903874695746913659e+01
2.456070152012785890e+00,3.392703232660348345e+00,4.308192308600123255e+00,5.220452290095587422e+00,6.138454457616538740e+00,7.066396111983449302e+00,8.006393873964716690e+00,8.959607265261675835e+00,9.926718156742177612e+00,1.090815154730120007e+01,1.190418526403023947e+01,1.291500822974699325e+01,1.394075322287237917e+01,1.498151620832450348e+01,1.603736822528242456e+01,1.710836296237657805e+01,1.819454173613928916e+01,1.929593685244721257e+01,2.041257393085090754e+01,2.154447354609956022e+01,2.269165240953232399e+01,2.385412423385222169e+01,2.503190037590168515e+01,2.622499032111078066e+01,2.743340205326661874e+01,2.865714234003769434e+01,2.989621695580320448e+01,3.115063085726568204e+01,3.242038832311092733e+01,3.370549306601211015e+01,3.500594832315785254e+01,3.632175692995681260e+01,3.765292138045324322e+01,3.899944387716688965e+01,4.036132637245290056e+01,4.173857060301926225e+01,4.313117811888493947e+01,4.453915030779644013e+01,4.596248841591157941e+01,4.740119356539982221e+01,4.885526676948185809e+01,5.032470894533297923e+01,5.180952092519562058e+01,5.330970346598461163e+01,5.482525725761767887e+01,5.635618293026601577e+01,5.790248106068169420e+01,5.946415217773959938e+01,6.104119676730228861e+01,6.263361527650442895e+01
2.597934023498736700e+00,3.606207232981919031e+00,4.589204517458687071e+00,5.566252234206138461e+00,6.547799832749280569e+00,7.538820650996442829e+00,8.541830569168253007e+00,9.558206755907388441e+00,1.058875753250023166e+01,1.163398563941414210e+01,1.269421904774370624e+01,1.376968035601327323e+01,1.486052574328261500e+01,1.596686791435314490e+01,1.708879018597212607e+01,1.822635544831761933e+01,1.937961204559298523e+01,2.054859774102515857e+01,2.173334245498990214e+01,2.293387019647275693e+01,2.415020045160205697e+01,2.538234919902318154e+01,2.663032966390947465e+01,2.789415288575591134e+01,2.917382815141792918e+01,3.046936332924176583e+01,3.178076512964636891e+01,3.310803931035658820e+01,3.445119083952108952e+01,3.581022402645479730e+01,3.718514262725734909e+01,3.857594993075953482e+01,3.998264882894179095e+01,4.140524187499904230e+01,4.284373133150700141e+01,4.429811921060350244e+01,4.576840730768594057e+01,4.725459722981359079e+01,4.875669041975999818e+01,5.027468817647253019e+01,5.180859167255077580e+01,5.335840196923712142e+01,5.492412002932368864e+01,5.650574672830536826e+01,5.810328286405096065e+01,5.971672916521693253e+01,6.134608629859003770e+01,6.299135487551602353e+01,6.465253545754180209e+01,6.632962856138397001e+01
2.740680744661305290e+00,3.823470326292241595e+00,4.876966782436787717e+00,5.921443378034256355e+00,6.968932398310047738e+00,8.025283163339437920e+00,9.093468372463179961e+00,1.017511500343409381e+01,1.127117647696358738e+01,1.238224461270714016e+01,1.350870473522610204e+01,1.465081788926295658e+01,1.580876692210881096e+01,1.698268358448637017e+01,1.817266514087301132e+01,1.937878492025368971e+01,2.060109922940397098e+01,2.183965200778944649e+01,2.309447803804008714e+01,2.436560520795051588e+01,2.565305613487989334e+01,2.695684935241871472e+01,2.827700019078619320e+01,2.961352143922959712e+01,3.096642385081446847e+01,3.233571653163021153e+01,3.372140724411555368e+01,3.512350264580246773e+01,3.654200847895464221e+01,3.797692972248104581e+01,3.942827071459199573e+01,4.089603525256084282e+01,4.238022667442303515e+01,4.388084792631296693e+01,4.539790161829866832e+01,4.693139007094116977e+01,4.848131535432707295e+01,5.004767932095511895e+01,5.163048363357754766e+01,5.322972978887433015e+01,5.484541913767196775e+01,5.647755290227939184e+01,5.812613219141001508e+01,5.979115801307275291e+01,6.147263128574721947e+01,6.317055284810352589e+01,6.488492346748354578e+01,6.661574384732348619e+01,6.836301463366797293e+01,7.012673642090493331e+01
2.884100033823004505e+00,4.044141170001424257e+00,5.171178155935351128e+00,6.285787901902526897e+00,7.401659655383662439e+00,8.525622058282614546e+00,9.661167256673657278e+00,1.081020756185846743e+01,1.197386218997962004e+01,1.315282463342903441e+01,1.434754557319534385e+01,1.555832978901194963e+01,1.678539041345885607e+01,1.802888079181529690e+01,1.928891397929875851e+01,2.056557510699417080e+01,2.185892947295745259e+01,2.316902798289113719e+01,2.449591089790162357e+01,2.583961047200951100e+01,2.720015284419256574e+01,2.857755941920824228e+01,2.997184789109957848e+01,3.138303301261412059e+01,3.281112718108801118e+01,3.425614088984492867e+01,3.571808307975142327e+01,3.719696141574527104e+01,3.869278250635502303e+01,4.020555207945251652e+01,4.173527512408134044e+01,4.328195600575552504e+01,4.484559856083871665e+01,4.642620617429727048e+01,4.802378184414542517e+01,4.963832823516391812e+01,5.126984772391696055e+01,5.291834243666835391e+01,5.458381428146888936e+01,5.626626497543374228e+01,5.796569606803029728e+01,5.968210896104025664e+01,6.141550492573723830e+01,6.316588511772263104e+01,6.493325058978322772e+01,6.671760230307202733e+01,6.851894113686151400e+01,7.033726789707789351e+01,7.217258332378973762e+01,7.402488809779822532e+01
3.028017301034646280e+00,4.267870166481289473e+00,5.471525507461899807e+00,6.659036155688090375e+00,7.845779685222768585e+00,9.039668385794971783e+00,1.024478134809215035e+01,1.146335523149576652e+01,1.269669791924655478e+01,1.394561851708999356e+01,1.521064191946466515e+01,1.649212248824237292e+01,1.779030763478167998e+01,1.910537510865715305e+01,2.043745578466250024e+01,2.178664809460338603e+01,2.315302745711862897e+01,2.453665261030333156e+01,2.593756996857162278e+01,2.735581668535978395e+01,2.879142284787700845e+01,3.024441307728415396e+01,3.171480771372017315e+01,3.320262370639480309e+01,3.470787529083118983e+01,3.623057451027357700e+01,3.777073162148935381e+01,3.932835541376496025e+01,4.090345346198725451e+01,4.249603232915310969e+01,4.410609772970483533e+01,4.573365466224755949e+01,4.737870751813548509e+01,4.904126017089119216e+01,5.072131605028857138e+01,5.241887820408113896e+01,5.413394934971218930e+01,5.586653191785281081e+01,5.761662808923466628e+01,5.938423982595121942e+01,6.116936889817295508e+01,6.297201690704063992e+01,6.479218530436025958e+01,6.662987540960739352e+01,6.848508842466171131e+01,7.035782544661634574e+01,7.224808747894897465e+01,7.415587544129482467e+01,7.608119017801966777e+01,7.802403246576444928e+01
3.172292863514042160e+00,4.494313812486049997e+00,5.777684661643013975e+00,7.040926629252348690e+00,8.301080897176261075e+00,9.567245586985105632e+00,1.084415871967546963e+01,1.213442389392761456e+01,1.343956282882897035e+01,1.476051562268449935e+01,1.609789115673002513e+01,1.745209982218217704e+01,1.882342770727225556e+01,2.021208005609546987e+01,2.161820779129121206e+01,2.304192428908136492e+01,2.448331632570084082e+01,2.594245141923899212e+01,2.741938287485335479e+01,2.891415332742210964e+01,3.042679727760531350e+01,3.195734293909363899e+01,3.350581360538095055e+01,3.507222867551596579e+01,3.665660443395844226e+01,3.825895465055450728e+01,3.987929104717199635e+01,4.151762366428486217e+01,4.317396115163709425e+01,4.484831100069694543e+01,4.654067973204577413e+01,4.825107304756540572e+01,4.997949595489681229e+01,5.172595286988473617e+01,5.349044770141792782e+01,5.527298392209193167e+01,5.707356462738272995e+01,5.889219258545062274e+01,6.072887027925977321e+01,6.258359994236136714e+01,6.445638358942434820e+01,6.634722304239066659e+01,6.825611995297080625e+01,7.018307582206071515e+01,7.212809201656251901e+01,7.409116978400386699e+01,7.607231026528513951e+01,7.807151450582782104e+01,8.008878346535367143e+01,8.212411802648671255e+01
