Mass Flow Rate (lbm/s),Turbine RPM (RPM),Torque (Nm),Horsepower (HP),Expected Horsepower (HP),Efficiency,Alpha2 (rad),Relative Velocity W1 (m/s)
0.12500000000000003,25000.0,0.5419746661120585,1.9027989318388046,0.0,0.0,-0.8138874152679102,88.19038734302879
0.16071428571428573,25000.0,0.7357587367212529,2.5831483016861245,0.0,0.0,-0.33599326653126177,125.03753121181506
0.19642857142857145,25000.0,0.9277481892796022,3.2571970129903,0.0,0.0,0.08035101559856968,167.40945332141908
0.23214285714285715,25000.0,1.1209539775317099,3.9355161125682367,0.0,0.0,0.3343204321792267,212.01926084487175
0.26785714285714285,25000.0,1.316622420713283,4.622481256808907,0.0,0.0,0.4833594124569105,257.70741148642537
0.3035714285714286,25000.0,1.5153157193798765,5.320066254975873,0.0,0.0,0.5765953725787899,303.98808193555936
0.3392857142857143,25000.0,1.7173171242355958,6.029265561553663,-34.5427835651911,-0.17576166128444057,0.6391428883687549,350.6267232266894
0.375,25000.0,1.9227830816690674,6.75062843841701,-29.262201115692356,-0.13471256780576138,0.6835867786866912,397.4973524194964
0.41071428571428575,25000.0,2.131806526024027,7.484481165337001,-25.182484824231718,-0.10585007333430102,0.7166271888248444,444.52659355580926
0.44642857142857145,25000.0,2.3444459561382582,8.231029123732743,-21.960674445438606,-0.08492314779123473,0.7420806260950304,491.6689339730065
0.4821428571428571,25000.0,2.56073995977943,8.99040778997923,-19.38664874175059,-0.06941596984439193,0.762255521401914,538.8946928185246
0.5178571428571429,25000.0,2.7807149887748897,9.762710032824705,-17.321347454308643,-0.05774363159066703,0.7786208544686953,586.1837086782525
0.5535714285714286,25000.0,3.0043897671008284,10.548001589588871,-15.725888567255371,-0.04904264880328405,0.7921520742564816,633.521816317013
0.5892857142857143,25000.0,3.2317779132522912,11.346330272945355,-14.506109060901984,-0.042496916225472914,0.8035205493445107,680.8987767924262
0.625,25000.0,3.4628895652591853,12.157731676130677,-13.609905093360679,-0.037593042070976454,0.8132026344650988,728.3070079185264
0.6607142857142857,25000.0,3.697732423507276,12.982232834146144,-13.479077663214865,-0.03521914997347914,0.8215452394987883,775.7407765401075
0.6964285714285714,25000.0,3.9363124405199588,13.819854645487329,-16.336028580942173,-0.04049508322858234,0.8288067587549116,823.1956681426719
0.7321428571428571,25000.0,4.178634289450052,14.670613516954674,-24.126154147654287,-0.05688852321458001,0.835183470973266,870.6682288728982
0.7678571428571429,25000.0,4.424701689774663,15.53452250712362,2.7379671429710264,0.006155738959544989,0.8408270641460578,918.1557180274369
0.8035714285714285,25000.0,4.674517638447079,16.411592137887297,-4.572854278086922,-0.009824156373768914,0.8458565674860846,965.6559332299913
0.8392857142857142,25000.0,4.928084577006298,17.30183098115522,-15.982109555518438,-0.03287431133424076,0.8503666602721156,1013.1670845798785
0.875,25000.0,5.1854045144079075,18.20524609009571,13.877494950463056,0.027380124356583522,0.8544335750862718,1060.687702496779
0.9107142857142857,25000.0,5.446479118671129,19.12184332089613,14.07929957628884,0.026688937958498787,0.8581193681944214,1108.216569194712
0.9464285714285714,25000.0,5.711309786194804,20.05162757612185,14.13756854411364,0.02578809564632734,0.8614750593500784,1155.752667012064
0.9821428571428572,25000.0,5.979897694837169,20.994602991072043,14.043286153162725,0.02468462160359043,0.8645429745985125,1203.2951389544044
1.0178571428571428,25000.0,6.252243845026196,21.9507730781125,13.790742618332704,0.023390161250996657,0.8673585179838493,1250.8432582122741
1.0535714285714286,25000.0,6.528349091933004,22.920140839632076,13.377378033663602,0.021919942307122096,0.8699515278880404,1298.3964043607386
1.0892857142857142,25000.0,6.808214170894225,23.902708857297107,12.803566265098635,0.02029184502699729,0.8723473271149464,1345.9540445931616
1.125,25000.0,7.091839717678993,24.89847936320609,12.072347278622392,0.018525570409830272,0.874567544320166,1393.5157187898835
1.1607142857142858,25000.0,7.3792262847797705,25.90745429708448,11.18911917874927,0.016641902044414004,0.876630762738998,1441.0810275381043
1.1964285714285714,25000.0,7.670374354607731,26.929635352611957,10.161302490284722,0.014662060110279629,0.878553037070964,1488.6496224444722
1.2321428571428572,25000.0,7.9652843502575195,27.96502401521593,8.997989358120789,0.012607146595026335,0.8803483087098329,1536.2211982445301
1.2678571428571428,25000.0,8.263956644347795,29.013621593109583,7.709589668380102,0.010497680085723445,0.8820287418695211,1583.7954863320101
