O/F,Pc_psia,Property,Degree,Coefficients_high->low,T_points_K,Y_points
2.1,500.0,Gamma,2,"[-5.484507883409019e-09, -2.961755284136659e-05, 1.2582125260181174]","[3378.934467630469, 3167.2107097266903, 998.3212907738334]","[1.0955190426892543, 1.1093911701109018, 1.223178582884825]"
2.1,500.0,Cp_J_kgK,2,"[0.0007522133453785703, -2.2792172196280323, 3600.668132095377]","[3378.934467630469, 3167.2107097266903, 998.3212907738334]","[4487.511314614965, 3927.527266724673, 2074.967025640923]"
2.1,500.0,Thermal_Conductivity,2,"[0.0002383926239852791, -0.6824632536755791, 683.6320547981062]","[3378.934467630469, 3167.2107097266903, 998.3212907738334]","[1099.4092663923504, 913.4968635744534, 239.9073704794319]"
2.1,500.0,Viscosity_Pa_s,2,"[3.8239461300914294e-12, -2.6715253600713507e-09, 6.784609137124167e-05]","[3378.934467630469, 3167.2107097266903, 998.3212907738334]","[0.00010247793288166147, 9.774366660999843e-05, 6.89901690443612e-05]"
2.1,500.0,Molecular_Weight_kg_kmol,2,"[-3.397623966600498e-07, 0.0011883827129072968, 21.113650845667753]","[3378.934467630469, 3167.2107097266903, 998.3212907738334]","[21.249983553032514, 21.46927670235737, 21.961415979958176]"
