segment,x,y,index
chamber_wall,-41.075481499387976,46.70399962543358,0
chamber_wall,-42.407020070101225,46.70399962543358,1
chamber_wall,-43.73855864081448,46.70399962543358,2
chamber_wall,-45.07009721152774,46.70399962543358,3
chamber_wall,-46.40163578224099,46.70399962543358,4
chamber_wall,-47.73317435295424,46.70399962543358,5
chamber_wall,-49.06471292366749,46.70399962543358,6
chamber_wall,-50.39625149438075,46.70399962543358,7
chamber_wall,-51.727790065094,46.70399962543358,8
chamber_wall,-53.05932863580725,46.70399962543358,9
chamber_wall,-54.390867206520504,46.70399962543358,10
chamber_wall,-55.72240577723376,46.70399962543358,11
chamber_wall,-57.05394434794701,46.70399962543358,12
chamber_wall,-58.38548291866026,46.70399962543358,13
chamber_wall,-59.717021489373515,46.70399962543358,14
chamber_wall,-61.04856006008677,46.70399962543358,15
chamber_wall,-62.38009863080002,46.70399962543358,16
chamber_wall,-63.71163720151327,46.70399962543358,17
chamber_wall,-65.04317577222653,46.70399962543358,18
chamber_wall,-66.37471434293978,46.70399962543358,19
chamber_wall,-67.70625291365303,46.70399962543358,20
chamber_wall,-69.03779148436628,46.70399962543358,21
chamber_wall,-70.36933005507953,46.70399962543358,22
chamber_wall,-71.7008686257928,46.70399962543358,23
chamber_wall,-73.03240719650604,46.70399962543358,24
chamber_wall,-74.36394576721929,46.70399962543358,25
chamber_wall,-75.69548433793256,46.70399962543358,26
chamber_wall,-77.0270229086458,46.70399962543358,27
chamber_wall,-78.35856147935905,46.70399962543358,28
chamber_wall,-79.6901000500723,46.70399962543358,29
chamber_wall,-81.02163862078555,46.70399962543358,30
chamber_wall,-82.35317719149882,46.70399962543358,31
chamber_wall,-83.68471576221206,46.70399962543358,32
chamber_wall,-85.01625433292531,46.70399962543358,33
chamber_wall,-86.34779290363858,46.70399962543358,34
chamber_wall,-87.67933147435183,46.70399962543358,35
chamber_wall,-89.01087004506508,46.70399962543358,36
chamber_wall,-90.34240861577833,46.70399962543358,37
chamber_wall,-91.67394718649157,46.70399962543358,38
chamber_wall,-93.00548575720484,46.70399962543358,39
chamber_wall,-94.33702432791809,46.70399962543358,40
chamber_wall,-95.66856289863134,46.70399962543358,41
chamber_wall,-97.0001014693446,46.70399962543358,42
chamber_wall,-98.33164004005785,46.70399962543358,43
chamber_wall,-99.6631786107711,46.70399962543358,44
chamber_wall,-100.99471718148435,46.70399962543358,45
chamber_wall,-102.3262557521976,46.70399962543358,46
chamber_wall,-103.65779432291086,46.70399962543358,47
chamber_wall,-104.98933289362411,46.70399962543358,48
chamber_wall,-106.32087146433736,46.70399962543358,49
chamber_wall,-107.65241003505061,46.70399962543358,50
chamber_wall,-108.98394860576387,46.70399962543358,51
chamber_wall,-110.31548717647712,46.70399962543358,52
chamber_wall,-111.64702574719037,46.70399962543358,53
chamber_wall,-112.97856431790363,46.70399962543358,54
chamber_wall,-114.31010288861688,46.70399962543358,55
chamber_wall,-115.64164145933013,46.70399962543358,56
