O/F,Pc_psia,Property,Degree,Coefficients_high->low,T_points_K,Y_points
1.6,500.0,Gamma,2,"[-3.0296418614201864e-08, 7.459439431690297e-05, 1.2339195626840482]","[2712.27500024699, 2440.0574596628003, 579.4960711486661]","[1.2133664187705744, 1.2355529178131477, 1.2669727082027291]"
1.6,500.0,Cp_J_kgK,2,"[0.00029519492576195254, -0.7683713924383314, 2487.6483486533193]","[2712.27500024699, 2440.0574596628003, 579.4960711486661]","[2575.1963135720694, 2370.333285322021, 2141.511235143425]"
1.6,500.0,Thermal_Conductivity,2,"[0.00014353496625634968, -0.3330576519822339, 336.7180280181513]","[2712.27500024699, 2440.0574596628003, 579.4960711486661]","[489.2798315659269, 378.62824303613945, 191.9137218905883]"
1.6,500.0,Viscosity_Pa_s,2,"[3.860638635888845e-12, 3.3289366020782487e-09, 4.5701741498863214e-05]","[2712.27500024699, 2440.0574596628003, 579.4960711486661]","[8.313127281900861e-05, 7.681031881813466e-05, 4.8927310233226574e-05]"
1.6,500.0,Molecular_Weight_kg_kmol,2,"[-5.959271263780278e-08, 0.00016589349478527934, 18.34916281458501]","[2712.27500024699, 2440.0574596628003, 579.4960711486661]","[18.360721635858862, 18.399144589903567, 18.425285274742798]"
