MR,Station,Temperature_K,Pressure_Pa,Density_kg_m3,Mach,Speed_of_Sound_m_s,Gamma,Cp_J_kgK,Molecular_Weight_kg_kmol,Thermal_Conductivity,Viscosity_Pa_s,Prandtl
1.2,Injector,2836.6066473846818,4136856.0,3.5363251350611304,0.0,1169.1508636835415,1.1684843329037442,2860.1082494463844,20.161140001776925,509.04369088870226,9.134727055274479e-05,0.51289970236983
1.2,Combustor,2829.8648093342204,4069146.288433875,3.4867315790958,0.16816729949351508,1167.760661267856,1.1684843329037442,2860.1082494463844,20.161140001776925,509.04369088870226,9.134727055274479e-05,0.51289970236983
1.2,Throat,2591.4062331405325,2344967.837457269,2.200352892149699,1.0,1125.1303285763418,1.187848657001734,2600.531205358313,20.217392011818045,408.6186249938537,8.564380189364607e-05,0.5446898845241975
1.2,Exit,691.8038569489137,84690.2299935228,0.2984500188985083,3.047003315026317,590.2544724708744,1.227769587392063,2211.0565943914185,20.270079987801527,198.57895361050316,5.6037000663838924e-05,0.6235208541626592
