segment,x_mm,y_mm,index
chamber_wall,-339.32504832770417,65.97673973631754,0
chamber_wall,-361.6505888662323,65.97673973631754,1
chamber_wall,-383.9761294047604,65.97673973631754,2
chamber_wall,-406.3016699432885,65.97673973631754,3
chamber_wall,-428.62721048181663,65.97673973631754,4
chamber_wall,-450.95275102034475,65.97673973631754,5
chamber_wall,-473.27829155887287,65.97673973631754,6
chamber_wall,-495.603832097401,65.97673973631754,7
chamber_wall,-517.9293726359291,65.97673973631754,8
chamber_wall,-540.2549131744572,65.97673973631754,9
chamber_wall,-562.5804537129853,65.97673973631754,10
chamber_wall,-584.9059942515134,65.97673973631754,11
chamber_wall,-607.2315347900415,65.97673973631754,12
chamber_wall,-629.5570753285697,65.97673973631754,13
chamber_wall,-651.8826158670977,65.97673973631754,14
chamber_wall,-674.2081564056259,65.97673973631754,15
chamber_wall,-696.5336969441539,65.97673973631754,16
chamber_wall,-718.8592374826821,65.97673973631754,17
chamber_wall,-741.1847780212101,65.97673973631754,18
chamber_wall,-763.5103185597384,65.97673973631754,19
chamber_wall,-785.8358590982664,65.97673973631754,20
chamber_wall,-808.1613996367946,65.97673973631754,21
chamber_wall,-830.4869401753226,65.97673973631754,22
chamber_wall,-852.8124807138507,65.97673973631754,23
chamber_wall,-875.1380212523788,65.97673973631754,24
chamber_wall,-897.463561790907,65.97673973631754,25
chamber_wall,-919.7891023294351,65.97673973631754,26
chamber_wall,-942.1146428679632,65.97673973631754,27
chamber_wall,-964.4401834064913,65.97673973631754,28
chamber_wall,-986.7657239450194,65.97673973631754,29
chamber_wall,-1009.0912644835475,65.97673973631754,30
chamber_wall,-1031.4168050220756,65.97673973631754,31
chamber_wall,-1053.7423455606038,65.97673973631754,32
chamber_wall,-1076.067886099132,65.97673973631754,33
chamber_wall,-1098.39342663766,65.97673973631754,34
chamber_wall,-1120.718967176188,65.97673973631754,35
chamber_wall,-1143.0445077147162,65.97673973631754,36
chamber_wall,-1165.3700482532445,65.97673973631754,37
chamber_wall,-1187.6955887917725,65.97673973631754,38
chamber_wall,-1210.0211293303005,65.97673973631754,39
chamber_wall,-1232.3466698688287,65.97673973631754,40
chamber_wall,-1254.672210407357,65.97673973631754,41
chamber_wall,-1276.997750945885,65.97673973631754,42
chamber_wall,-1299.323291484413,65.97673973631754,43
chamber_wall,-1321.6488320229412,65.97673973631754,44
chamber_wall,-1343.9743725614694,65.97673973631754,45
chamber_wall,-1366.2999130999974,65.97673973631754,46
chamber_wall,-1388.6254536385254,65.97673973631754,47
chamber_wall,-1410.9509941770534,65.97673973631754,48
chamber_wall,-1433.2765347155819,65.97673973631754,49
chamber_wall,-1455.6020752541099,65.97673973631754,50
chamber_wall,-1477.9276157926379,65.97673973631754,51
chamber_wall,-1500.2531563311659,65.97673973631754,52
chamber_wall,-1522.5786968696943,65.97673973631754,53
chamber_wall,-1544.9042374082223,65.97673973631754,54
chamber_wall,-1567.2297779467503,65.97673973631754,55
chamber_wall,-1589.5553184852783,65.97673973631754,56
chamber_wall,-1611.8808590238068,65.97673973631754,57
chamber_wall,-1634.2063995623348,65.97673973631754,58
chamber_wall,-1656.5319401008628,65.97673973631754,59
chamber_wall,-1678.8574806393908,65.97673973631754,60
chamber_wall,-1701.1830211779193,65.97673973631754,61
chamber_wall,-1723.5085617164473,65.97673973631754,62
chamber_wall,-1745.8341022549753,65.97673973631754,63
chamber_wall,-1768.1596427935033,65.97673973631754,64
chamber_wall,-1790.4851833320313,65.97673973631754,65
chamber_wall,-1812.8107238705597,65.97673973631754,66
chamber_wall,-1835.1362644090877,65.97673973631754,67
chamber_wall,-1857.4618049476157,65.97673973631754,68
chamber_wall,-1879.7873454861437,65.97673973631754,69
chamber_wall,-1902.1128860246722,65.97673973631754,70
chamber_wall,-1924.4384265632002,65.97673973631754,71
chamber_wall,-1946.7639671017282,65.97673973631754,72
chamber_wall,-1969.0895076402562,65.97673973631754,73
chamber_wall,-1991.4150481787847,65.97673973631754,74
chamber_wall,-2013.7405887173127,65.97673973631754,75
