OF_torch,Energy (MJ),Temperature (K),mdot (kg/s)
1.0,16.47359082391703,1229.9811953135222,0.13164404606277327
1.1,17.259214131689614,1272.0017887286028,0.12565173203692728
1.2000000000000002,18.35778610778223,1336.3846327347446,0.11813244453935971
1.3000000000000003,20.525007832574772,1473.0234250253752,0.10565891944758223
1.4000000000000004,23.662996216949395,1678.16283601763,0.09164731842747985
1.5000000000000004,26.68351705127067,1882.467424896941,0.08127302503174862
1.6000000000000005,29.444849357338136,2076.234385757844,0.07365125638527165
1.7000000000000006,31.94235696315861,2258.400646726564,0.06789261518003416
1.8000000000000007,34.171643027559234,2427.851975794164,0.06346344387052177
1.9000000000000008,36.127758239365484,2583.40060679614,0.060027254801545096
2.000000000000001,37.8109445807606,2724.194884898637,0.05735509052441102
2.100000000000001,39.2291774191891,2849.92813910196,0.05528156061162294
2.200000000000001,40.396790036906715,2960.7814962313755,0.053683724554889685
2.300000000000001,41.33158607498851,3057.2492626165063,0.05246956033355213
2.4000000000000012,42.05279872497193,3140.0076269667024,0.05156969845042009
2.5000000000000013,42.58059435907077,3209.883160189374,0.05093048093587809
2.6000000000000014,42.9364135899263,3267.879535758076,0.05050841390608876
2.7000000000000015,43.14305935839809,3315.187515214561,0.050266489708752415
2.8000000000000016,43.223971973649114,3353.135108154599,0.050172393933743516
2.9000000000000017,43.20192424876313,3383.090592514254,0.050197998976980775
3.0000000000000018,43.09774312429848,3406.361002593766,0.05031934370643016
3.100000000000002,42.929496313386316,3424.1199025848728,0.05051655238188251
3.200000000000002,42.71222894940105,3437.3738030940494,0.050773518558633386
3.300000000000002,42.45810765590231,3446.9593206535187,0.051077409450713894
3.400000000000002,42.17677962297145,3453.5582697619516,0.051418106565487134
3.500000000000002,41.875799198590165,3457.7201638177653,0.05178767189513184
3.6000000000000023,41.56103729593973,3459.8856700801007,0.052179885064006254
3.7000000000000024,41.237036487622255,3460.407867604378,0.05258986420845146
3.8000000000000025,40.907302446540015,3459.5701939888354,0.05301376574701124
3.9000000000000026,40.57453573748604,3457.6010143576736,0.053448551162088534
4.000000000000003,40.240812927411355,3454.685193206492,0.05389180763209097
4.100000000000003,39.907726773389555,3450.9731785039307,0.05434161062486442
4.200000000000003,39.57649429136009,3446.588096760796,0.054796418633685
4.3000000000000025,39.24803999989707,3441.6312874397872,0.05525499233206804
4.400000000000003,38.9230601283568,3436.1866267631704,0.055716332222889
4.5000000000000036,38.60207227502642,3430.323916037571,0.05617963030047013
4.600000000000003,38.28545394453975,3424.101548454287,0.05664423236001107
4.700000000000003,37.97347257069069,3417.568618146084,0.05710960843009273
4.800000000000003,37.666308999933534,3410.766597022405,0.057575329434238945
4.900000000000004,37.36407593353291,3403.7306752602326,0.05804104865595584
5.0000000000000036,37.06683246666684,3396.4908388513004,0.05850648692987776
5.100000000000003,36.77459559225626,3389.072740554312,0.05897142074078094
5.200000000000004,36.48734933365927,3381.4984076753785,0.05943567260564064
5.300000000000004,36.205052016732154,3373.7868202869236,0.05989910325887037
5.400000000000004,35.927642075463524,3365.9543860248828,0.06036160527005676
5.5000000000000036,35.65504269701089,3358.0153318953203,0.060823097806157425
5.600000000000004,35.387165544522254,3349.9820291417086,0.0612835223130412
5.700000000000005,35.1239137444065,3341.8652638474796,0.06174283893942118
5.800000000000004,34.86518428488165,3333.6744633332873,0.06220102356330837
5.900000000000004,34.61086994179804,3325.417886372953,0.06265806530982417
6.000000000000004,34.360860823757314,3317.1027836599173,0.0631139644715651
6.100000000000005,34.11504560982712,3308.7355337045537,0.06356873076019909
6.200000000000005,33.87331253845072,3300.3217583542496,0.06402238183175342
6.300000000000004,33.63555019457528,3291.86642134359,0.06447494203893744
6.400000000000005,33.40164813285919,3283.373912656575,0.06492644137250168
6.500000000000005,33.17149736751051,3274.848121041696,0.06537691456060331
6.600000000000005,32.944990753647865,3266.292496168422,0.06582640030041248
6.700000000000005,32.72202328006389,3257.7101030336908,0.06627494060137402
6.800000000000005,32.50249228998252,3249.1036683629914,0.06672258022229896
6.900000000000006,32.28629764313889,3240.475621358316,0.06716936618788401
7.000000000000005,32.07334183007765,3231.8281291150706,0.06761534737266764
7.100000000000005,31.86353004763982,3223.1631275680143,0.06806057414230686
7.2000000000000055,31.656770243002846,3214.4823485986853,0.06850509804367529
7.300000000000006,31.452973132309427,3205.787343837369,0.06894897153666248
7.400000000000006,31.25205219885762,3197.079505611218,0.0693922477616457
7.500000000000005,31.053923674940055,3188.3600854217575,0.0698349803375434
