OF_torch,Energy (MJ),Temperature (K),mdot (kg/s)
1.0,16.319143029035345,1205.8632091961044,0.0006434316865664627
1.1,17.11688147462369,1247.9451179485275,0.0006134443203371187
1.2000000000000002,18.291264789558557,1316.2433608253805,0.000574058373945007
1.3000000000000003,20.724521556775848,1468.3237408493512,0.0005066584381079961
1.4000000000000004,23.966028503228728,1678.1741665062648,0.0004381307366415317
1.5000000000000004,27.015137510775407,1882.6279309098113,0.00038868037293178156
1.6000000000000005,29.79208279937288,2075.9603526096753,0.0003524511459370869
1.7000000000000006,32.29449014474758,2257.216739187981,0.00032514071829058816
1.8000000000000007,34.516339173214085,2425.1415907984397,0.00030421110621835934
1.9000000000000008,36.451921519737226,2578.460137258358,0.0002880576190422798
2.000000000000001,38.102677689158206,2716.361204957301,0.000275577842800253
2.100000000000001,39.47932420498769,2838.6842502175946,0.00026596842610504914
2.200000000000001,40.59942866675551,2945.7971662439827,0.00025863057849111036
2.300000000000001,41.48379222343499,3038.3745664946205,0.0002531170165431441
2.4000000000000012,42.15424163645602,3117.2547667203403,0.0002490912732589802
2.5000000000000013,42.63321413065835,3183.4124264041666,0.0002462928009676056
2.6000000000000014,42.944085917645054,3237.9825761643156,0.0002445098899678094
2.7000000000000015,43.111086390298084,3282.256313303892,0.00024356272601041602
2.8000000000000016,43.15840570002269,3317.6168327805017,0.00024329568138996448
2.9000000000000017,43.108890200015736,3345.4403553795605,0.00024357513435796388
