segment,x_mm,y_mm,index
chamber_wall,-223.0,48.59281067444287,0
chamber_wall,-221.2098584418184,48.59281067444287,1
chamber_wall,-219.4197168836368,48.59281067444287,2
chamber_wall,-217.6295753254552,48.59281067444287,3
chamber_wall,-215.8394337672736,48.59281067444287,4
chamber_wall,-214.049292209092,48.59281067444287,5
chamber_wall,-212.25915065091039,48.59281067444287,6
chamber_wall,-210.46900909272878,48.59281067444287,7
chamber_wall,-208.67886753454718,48.59281067444287,8
chamber_wall,-206.88872597636558,48.59281067444287,9
chamber_wall,-205.09858441818398,48.59281067444287,10
chamber_wall,-203.30844286000237,48.59281067444287,11
chamber_wall,-201.51830130182077,48.59281067444287,12
chamber_wall,-199.72815974363917,48.59281067444287,13
chamber_wall,-197.93801818545757,48.59281067444287,14
chamber_wall,-196.14787662727596,48.59281067444287,15
chamber_wall,-194.35773506909436,48.59281067444287,16
chamber_wall,-192.56759351091276,48.59281067444287,17
chamber_wall,-190.77745195273116,48.59281067444287,18
chamber_wall,-188.98731039454955,48.59281067444287,19
chamber_wall,-187.19716883636795,48.59281067444287,20
chamber_wall,-185.40702727818635,48.59281067444287,21
chamber_wall,-183.61688572000475,48.59281067444287,22
chamber_wall,-181.82674416182314,48.59281067444287,23
chamber_wall,-180.03660260364154,48.59281067444287,24
chamber_wall,-178.24646104545994,48.59281067444287,25
chamber_wall,-176.45631948727834,48.59281067444287,26
chamber_wall,-174.66617792909673,48.59281067444287,27
chamber_wall,-172.87603637091513,48.59281067444287,28
chamber_wall,-171.08589481273356,48.59281067444287,29
chamber_wall,-169.29575325455193,48.59281067444287,30
chamber_wall,-167.50561169637035,48.59281067444287,31
chamber_wall,-165.71547013818872,48.59281067444287,32
chamber_wall,-163.92532858000715,48.59281067444287,33
chamber_wall,-162.13518702182552,48.59281067444287,34
chamber_wall,-160.34504546364394,48.59281067444287,35
chamber_wall,-158.5549039054623,48.59281067444287,36
chamber_wall,-156.76476234728074,48.59281067444287,37
chamber_wall,-154.9746207890991,48.59281067444287,38
chamber_wall,-153.18447923091753,48.59281067444287,39
chamber_wall,-151.3943376727359,48.59281067444287,40
chamber_wall,-149.60419611455433,48.59281067444287,41
chamber_wall,-147.8140545563727,48.59281067444287,42
chamber_wall,-146.02391299819112,48.59281067444287,43
chamber_wall,-144.2337714400095,48.59281067444287,44
chamber_wall,-142.44362988182792,48.59281067444287,45
chamber_wall,-140.65348832364631,48.59281067444287,46
chamber_wall,-138.8633467654647,48.59281067444287,47
chamber_wall,-137.0732052072831,48.59281067444287,48
chamber_wall,-135.2830636491015,48.59281067444287,49
chamber_wall,-133.4929220909199,48.59281067444287,50
chamber_wall,-131.7027805327383,48.59281067444287,51
chamber_wall,-129.9126389745567,48.59281067444287,52
chamber_wall,-128.1224974163751,48.59281067444287,53
chamber_wall,-126.3323558581935,48.59281067444287,54
chamber_wall,-124.54221430001189,48.59281067444287,55
chamber_wall,-122.75207274183029,48.59281067444287,56
chamber_wall,-120.96193118364869,48.59281067444287,57
chamber_wall,-119.17178962546708,48.59281067444287,58
chamber_wall,-117.38164806728548,48.59281067444287,59
chamber_wall,-115.59150650910388,48.59281067444287,60
chamber_wall,-113.80136495092228,48.59281067444287,61
chamber_wall,-112.01122339274067,48.59281067444287,62
chamber_wall,-110.22108183455907,48.59281067444287,63
chamber_wall,-108.43094027637747,48.59281067444287,64
chamber_wall,-106.64079871819587,48.59281067444287,65
chamber_wall,-104.85065716001426,48.59281067444287,66
chamber_wall,-103.06051560183266,48.59281067444287,67
chamber_wall,-101.27037404365106,48.59281067444287,68
chamber_wall,-99.48023248546946,48.59281067444287,69
chamber_wall,-97.69009092728786,48.59281067444287,70
chamber_wall,-95.89994936910625,48.59281067444287,71
chamber_wall,-94.10980781092465,48.59281067444287,72
chamber_wall,-92.31966625274306,48.59281067444287,73
chamber_wall,-90.52952469456146,48.59281067444287,74
chamber_wall,-88.73938313637986,48.59281067444287,75
chamber_wall,-86.94924157819825,48.59281067444287,76
chamber_wall,-85.15910002001665,48.59281067444287,77
chamber_wall,-83.36895846183505,48.59281067444287,78
chamber_wall,-81.57881690365345,48.59281067444287,79
chamber_wall,-79.78867534547184,48.59281067444287,80
chamber_wall,-77.99853378729024,48.59281067444287,81
chamber_wall,-76.20839222910864,48.59281067444287,82
chamber_wall,-74.41825067092704,48.59281067444287,83
chamber_wall,-72.62810911274543,48.59281067444287,84
chamber_wall,-70.83796755456383,48.59281067444287,85
chamber_wall,-69.04782599638224,48.59281067444287,86
chamber_wall,-67.25768443820064,48.59281067444287,87
chamber_wall,-65.46754288001904,48.59281067444287,88
chamber_wall,-63.67740132183743,48.59281067444287,89
chamber_wall,-61.88725976365583,48.59281067444287,90
chamber_wall,-60.097118205474224,48.59281067444287,91
chamber_wall,-58.30697664729262,48.59281067444287,92
chamber_wall,-56.51683508911103,48.59281067444287,93
chamber_wall,-54.726693530929424,48.59281067444287,94
chamber_wall,-52.93655197274782,48.59281067444287,95
chamber_wall,-51.14641041456622,48.59281067444287,96
chamber_wall,-49.35626885638462,48.59281067444287,97
chamber_wall,-47.566127298203014,48.59281067444287,98
chamber_wall,-45.77598574002141,48.59281067444287,99
convergent_arc,-45.77598574002141,48.59281067444287,0
convergent_arc,-45.6581519571885,48.59234326574584,1
convergent_arc,-45.54032559047845,48.59094106907211,2
convergent_arc,-45.42251405554737,48.58860417267195,3
convergent_arc,-45.30472476711788,48.58533272362296,4
convergent_arc,-45.18696513851251,48.581126927820854,5
convergent_arc,-45.06924258118706,48.57598704996642,6
convergent_arc,-44.95156450426416,48.56991341354895,7
convergent_arc,-44.833938314066984,48.56290640082584,8
convergent_arc,-44.71637141365311,48.5549664527985,9
convergent_arc,-44.59887120234856,48.54609406918468,10
convergent_arc,-44.48144507528217,48.53628980838695,11
convergent_arc,-44.36410042292008,48.525554287457545,12
convergent_arc,-44.2468446306007,48.513888182059624,13
convergent_arc,-44.12968507806978,48.50129222642463,14
convergent_arc,-44.012629139016056,48.48776721330617,15
convergent_arc,-43.89568418060711,48.473313993930056,16
convergent_arc,-43.778857563025724,48.457933477940784,17
convergent_arc,-43.662156639006646,48.441626633344235,18
convergent_arc,-43.54558875337381,48.42439448644679,19
convergent_arc,-43.42916124257813,48.40623812179073,20
convergent_arc,-43.312881434235685,48.38715868208595,21
convergent_arc,-43.196756646666614,48.36715736813808,22
convergent_arc,-43.080794188434474,48.34623543877288,23
convergent_arc,-42.96500135788628,48.32439421075703,24
convergent_arc,-42.84938544269316,48.301635058715235,25
convergent_arc,-42.7339537193917,48.277959415043746,26
convergent_arc,-42.618713452925974,48.253368769820185,27
convergent_arc,-42.50367189619029,48.22786467070975,28
convergent_arc,-42.388836289572765,48.201448722867845,29
convergent_arc,-42.27421386049956,48.17412258883902,30
