	Time [s]	Convergent Temperature [°F]	
1	4.e-002	842.52	
2	5.3333e-002	919.48	
3	5.7778e-002	943.4	
4	6.1778e-002	963.17	
5	6.5778e-002	981.51	
6	6.9778e-002	998.62	
7	7.3778e-002	1014.7	
8	7.8155e-002	1031.3	
9	8.3063e-002	1049.6	
10	8.8638e-002	1072.3	
11	9.5054e-002	1096.4	
12	0.10248	1123.7	
13	0.11124	1153.8	
14	0.12182	1186.7	
15	0.13498	1223.5	
16	0.15202	1265.7	
17	0.17317	1313.5	
18	0.19617	1358.7	
19	0.2213	1401.6	
20	0.24892	1442.9	
21	0.27947	1483.1	
22	0.31276	1521.7	
23	0.3483	1558.5	
24	0.38658	1594.1	
25	0.4282	1629.1	
26	0.47363	1663.9	
27	0.523	1698.3	
28	0.57611	1732.	
29	0.63321	1765.2	
30	0.69464	1797.8	
31	0.76073	1829.8	
32	0.83193	1861.8	
33	0.90871	1895.3	
34	0.99162	1929.4	
35	1.0813	1963.1	
36	1.1784	1996.2	
37	1.2838	2028.6	
38	1.3985	2060.4	
39	1.5235	2091.6	
40	1.66	2122.3	
41	1.8097	2152.7	
42	1.9741	2182.7	
43	2.1553	2212.8	
44	2.3478	2241.8	
45	2.5493	2269.1	
46	2.7613	2295.3	
47	2.9852	2320.6	
48	3.2226	2345.	
49	3.4755	2368.7	
50	3.7457	2391.7	
51	4.	2411.7	
52	4.02	2324.7	
53	4.0302	2291.6	
54	4.0404	2264.6	
55	4.0543	2234.5	
56	4.0701	2205.5	
57	4.0878	2177.6	
58	4.1076	2150.3	
59	4.1295	2123.5	
60	4.154	2096.8	
61	4.1812	2070.1	
62	4.2116	2043.2	
63	4.2454	2015.9	
64	4.2832	1988.1	
65	4.3253	1959.8	
66	4.3724	1930.8	
67	4.425	1901.2	
68	4.4838	1870.7	
69	4.5497	1839.4	
70	4.6238	1807.2	
71	4.7072	1774.1	
72	4.8006	1740.	
73	4.9038	1705.6	
74	5.0177	1670.7	
75	5.1434	1635.5	
76	5.2821	1600.1	
77	5.4351	1564.3	
78	5.6036	1528.4	
79	5.7862	1492.9	
80	5.8931	1473.2	
81	6.	1454.5	
