	Time [s]	Gasket Temperature [°F]	
1	4.e-002	887.38	
2	5.3333e-002	1125.4	
3	5.7778e-002	1201.4	
4	6.1778e-002	1267.	
5	6.5778e-002	1330.1	
6	7.006e-002	1394.7	
7	7.4532e-002	1459.2	
8	7.9213e-002	1523.6	
9	8.412e-002	1587.8	
10	8.9275e-002	1652.	
11	9.47e-002	1716.	
12	0.10042	1779.9	
13	0.10647	1843.6	
14	0.11287	1907.1	
15	0.11967	1970.5	
16	0.12691	2033.8	
17	0.13464	2096.8	
18	0.14292	2159.6	
19	0.15159	2220.7	
20	0.16068	2280.1	
21	0.17022	2337.8	
22	0.18027	2393.8	
23	0.19087	2448.3	
24	0.20208	2501.2	
25	0.21396	2552.5	
26	0.22658	2602.3	
27	0.24005	2650.5	
28	0.25448	2697.3	
29	0.27	2742.7	
30	0.28679	2786.6	
31	0.30504	2829.2	
32	0.32504	2870.4	
33	0.34706	2910.2	
34	0.37152	2948.6	
35	0.39898	2985.7	
36	0.43022	3021.4	
37	0.46634	3055.9	
38	0.50894	3089.	
39	0.56056	3120.9	
40	0.6186	3148.9	
41	0.68259	3172.8	
42	0.75397	3193.4	
43	0.83254	3216.1	
44	0.91747	3233.6	
45	1.0093	3246.4	
46	1.1093	3255.4	
47	1.2184	3261.4	
48	1.3349	3265.	
49	1.4592	3267.4	
50	1.5925	3270.5	
51	1.7362	3272.8	
52	1.8926	3274.9	
53	2.0634	3276.3	
54	2.2508	3277.1	
55	2.456	3277.5	
56	2.6793	3277.6	
57	2.9214	3277.4	
58	3.183	3277.1	
59	3.4672	3276.8	
60	3.7762	3276.5	
61	4.	3276.5	
62	4.02	3242.2	
63	4.0327	3225.2	
64	4.0454	3214.5	
65	4.069	3197.5	
66	4.1013	3175.2	
67	4.1434	3145.4	
68	4.1961	3106.3	
69	4.2607	3056.3	
70	4.3357	2997.1	
71	4.4187	2931.4	
72	4.5029	2865.6	
73	4.5885	2800.2	
74	4.6764	2735.	
75	4.7671	2670.4	
76	4.8611	2606.2	
77	4.959	2542.	
78	5.061	2477.9	
79	5.1678	2413.9	
80	5.2797	2349.9	
81	5.3974	2286.	
82	5.5214	2222.2	
83	5.6523	2158.4	
84	5.7907	2094.7	
85	5.9375	2031.1	
86	6.	2004.7	
