	Time [s]	Chamber Temperature [°F]	
1	4.e-002	464.23	
2	5.3333e-002	514.68	
3	5.7778e-002	527.17	
4	6.1778e-002	537.84	
5	6.5778e-002	548.03	
6	7.006e-002	558.48	
7	7.4532e-002	568.93	
8	7.9213e-002	579.46	
9	8.412e-002	590.13	
10	8.9275e-002	601.	
11	9.47e-002	612.08	
12	0.10042	624.88	
13	0.10647	637.78	
14	0.11287	650.8	
15	0.11967	663.97	
16	0.12691	677.33	
17	0.13464	690.9	
18	0.14292	704.71	
19	0.15159	718.45	
20	0.16068	732.14	
21	0.17022	745.82	
22	0.18027	759.5	
23	0.19087	773.17	
24	0.20208	787.03	
25	0.21396	801.19	
26	0.22658	815.48	
27	0.24005	829.97	
28	0.25448	845.48	
29	0.27	861.99	
30	0.28679	878.77	
31	0.30504	895.9	
32	0.32504	913.47	
33	0.34706	931.57	
34	0.37152	950.35	
35	0.39898	969.99	
36	0.43022	990.78	
37	0.46634	1013.1	
38	0.50894	1037.4	
39	0.56056	1065.2	
40	0.6186	1094.9	
41	0.68259	1125.8	
42	0.75397	1157.2	
43	0.83254	1188.7	
44	0.91747	1219.7	
45	1.0093	1250.4	
46	1.1093	1280.9	
47	1.2184	1311.5	
48	1.3349	1341.3	
49	1.4592	1370.6	
50	1.5925	1399.5	
51	1.7362	1428.2	
52	1.8926	1458.5	
53	2.0634	1489.4	
54	2.2508	1520.7	
55	2.456	1552.	
56	2.6793	1583.1	
57	2.9214	1613.9	
58	3.183	1644.4	
59	3.4672	1674.7	
60	3.7762	1704.9	
61	4.	1725.1	
62	4.02	1660.	
63	4.0327	1642.5	
64	4.0454	1625.8	
65	4.069	1597.3	
66	4.1013	1563.	
67	4.1434	1524.2	
68	4.1961	1482.8	
69	4.2607	1439.7	
70	4.3357	1397.3	
71	4.4187	1357.2	
72	4.5029	1321.9	
73	4.5885	1290.3	
74	4.6764	1261.5	
75	4.7671	1235.	
76	4.8611	1210.	
77	4.959	1186.5	
78	5.061	1164.7	
79	5.1678	1144.	
80	5.2797	1124.1	
81	5.3974	1105.	
82	5.5214	1086.5	
83	5.6523	1068.6	
84	5.7907	1051.3	
85	5.9375	1034.5	
86	6.	1027.6	
