segment,x_mm,y_mm,index
chamber_wall,-339.31098,65.8964981820235,0
chamber_wall,-336.4414028971652,65.8964981820235,1
chamber_wall,-333.5718257943304,65.8964981820235,2
chamber_wall,-330.7022486914956,65.8964981820235,3
chamber_wall,-327.8326715886608,65.8964981820235,4
chamber_wall,-324.963094485826,65.8964981820235,5
chamber_wall,-322.0935173829912,65.8964981820235,6
chamber_wall,-319.2239402801564,65.8964981820235,7
chamber_wall,-316.35436317732166,65.8964981820235,8
chamber_wall,-313.48478607448686,65.8964981820235,9
chamber_wall,-310.61520897165207,65.8964981820235,10
chamber_wall,-307.74563186881727,65.8964981820235,11
chamber_wall,-304.8760547659825,65.8964981820235,12
chamber_wall,-302.0064776631477,65.8964981820235,13
chamber_wall,-299.13690056031294,65.8964981820235,14
chamber_wall,-296.26732345747814,65.8964981820235,15
chamber_wall,-293.39774635464335,65.8964981820235,16
chamber_wall,-290.52816925180855,65.8964981820235,17
chamber_wall,-287.65859214897375,65.8964981820235,18
chamber_wall,-284.78901504613896,65.8964981820235,19
chamber_wall,-281.91943794330416,65.8964981820235,20
chamber_wall,-279.04986084046936,65.8964981820235,21
chamber_wall,-276.1802837376346,65.8964981820235,22
chamber_wall,-273.3107066347998,65.8964981820235,23
chamber_wall,-270.44112953196503,65.8964981820235,24
chamber_wall,-267.57155242913024,65.8964981820235,25
chamber_wall,-264.70197532629544,65.8964981820235,26
chamber_wall,-261.83239822346064,65.8964981820235,27
chamber_wall,-258.96282112062585,65.8964981820235,28
chamber_wall,-256.09324401779105,65.8964981820235,29
chamber_wall,-253.2236669149563,65.8964981820235,30
chamber_wall,-250.35408981212152,65.8964981820235,31
chamber_wall,-247.48451270928672,65.8964981820235,32
chamber_wall,-244.61493560645192,65.8964981820235,33
chamber_wall,-241.74535850361713,65.8964981820235,34
chamber_wall,-238.87578140078233,65.8964981820235,35
chamber_wall,-236.00620429794753,65.8964981820235,36
chamber_wall,-233.13662719511274,65.8964981820235,37
chamber_wall,-230.267050092278,65.8964981820235,38
chamber_wall,-227.3974729894432,65.8964981820235,39
chamber_wall,-224.5278958866084,65.8964981820235,40
chamber_wall,-221.6583187837736,65.8964981820235,41
chamber_wall,-218.7887416809388,65.8964981820235,42
chamber_wall,-215.91916457810402,65.8964981820235,43
chamber_wall,-213.04958747526922,65.8964981820235,44
chamber_wall,-210.18001037243442,65.8964981820235,45
chamber_wall,-207.31043326959968,65.8964981820235,46
chamber_wall,-204.4408561667649,65.8964981820235,47
chamber_wall,-201.5712790639301,65.8964981820235,48
chamber_wall,-198.7017019610953,65.8964981820235,49
chamber_wall,-195.8321248582605,65.8964981820235,50
chamber_wall,-192.9625477554257,65.8964981820235,51
chamber_wall,-190.0929706525909,65.8964981820235,52
chamber_wall,-187.2233935497561,65.8964981820235,53
chamber_wall,-184.35381644692137,65.8964981820235,54
chamber_wall,-181.48423934408657,65.8964981820235,55
chamber_wall,-178.61466224125178,65.8964981820235,56
chamber_wall,-175.74508513841698,65.8964981820235,57
chamber_wall,-172.8755080355822,65.8964981820235,58
chamber_wall,-170.0059309327474,65.8964981820235,59
chamber_wall,-167.1363538299126,65.8964981820235,60
chamber_wall,-164.26677672707783,65.8964981820235,61
chamber_wall,-161.39719962424306,65.8964981820235,62
chamber_wall,-158.52762252140826,65.8964981820235,63
chamber_wall,-155.65804541857347,65.8964981820235,64
chamber_wall,-152.78846831573867,65.8964981820235,65
chamber_wall,-149.91889121290387,65.8964981820235,66
chamber_wall,-147.04931411006908,65.8964981820235,67
chamber_wall,-144.17973700723428,65.8964981820235,68
chamber_wall,-141.3101599043995,65.8964981820235,69
chamber_wall,-138.44058280156474,65.8964981820235,70
chamber_wall,-135.57100569872995,65.8964981820235,71
